Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total,,
Ireland,781470.1711,715706.5219,162578.2201,33458.82065,211427.413,147780.6005,363119.731,988128.7824,841569.6277,1745619.114,4040260.408,1843080.571,1582103.506,1674804.897,15131108.38,,
Israel,1866198.228,792024.2937,568570.4621,920217.7174,744736.6711,1075021.641,1108717.655,1973902.695,1088118.587,5402633.381,8534870.53,2741013.261,2844302.446,897772.1607,30558099.73,,
Italy,40927331.27,28695954.84,21625304.84,27961010.89,28594595.51,33339488.66,33160420.64,29838308.08,38516108.41,32830645.53,43002100.84,42005196.28,21247173.49,21930248.67,443673888,,
Jamaica,13092183.41,17305958.92,11335.95109,21133.01902,36461.05434,8279.288043,38865.88316,5198.086956,0,0,5925.951087,0,7677.641306,17631.89675,30550651.1,,
Japan,241694209.4,170201763.9,205588857.2,192062330.2,238026166.9,336714192.8,247093327,243326434.7,298029082.1,387351552.4,375780539.4,487674385.7,248999654.4,354630577.1,4027173073,,
Jordan,364505.6494,489804.674,165779.1033,200502.1793,251597.3478,124462.3234,235441.3859,730382.8694,463389.0326,11573.31522,6671.875,2948.369566,10869.69022,2968.152175,3060895.967,,
Kazakhstan,0,0,0,0,0,0,0,0,0,80184.35055,0,0,2773.097827,0,82957.44837,,
Kenya,0,0,3774.089675,1945.866848,170306.7554,288249.3424,523884.1848,0,198160.7201,17100.09783,46374.08968,22214.70109,8983.130437,426229.3344,1707222.313,,
Kiribati,538290.5135,434151.2501,401357.6224,353301.3179,274464.7336,233114.3288,314746.193,331468.4347,367880.9348,745403.8207,875037.5408,920867.636,151529.7446,0,5941614.071,,
"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Korea, South",375033695.1,86705787.74,40386203.08,67821631.1,55462629.1,412297625.2,151469325.6,167312471.4,125518734.1,55505054.03,130694074.7,459109578.9,191387127.3,304460967.4,2623164905,,
Kosovo,0,0,0,0,0,5067.85326,0,0,0,0,0,0,0,0,5067.85326,,
Kuwait,0,8645.706524,0,0,1606.524456,0,0,0,0,0,0,0,0,0,10252.23098,,
Kyrgyzstan,0,0,0,0,51903.85597,0,0,0,0,0,0,0,0,5042.282611,56946.13858,,
Laos,0,525.6521741,0,0,14677.82608,0,4367.391305,54539.99999,27597.55435,35712.63587,73813.31522,33695.65218,4266.304349,15871.56794,265067.8995,,
Latvia,12998.22554,31533.47827,10791.54892,14134.42663,12523.91576,500730.0489,120128.9973,759385.5651,489327.5707,381587.6984,784329.8777,402871.1142,374363.0871,603764.1714,4498469.726,,
Lebanon,18194.82065,0,0,3560.869565,13646.73913,0,0,0,0,0,8836.711957,0,46929.34784,18528.60055,109697.0897,,
Lesotho,0,0,0,0,0,0,0,0,0,4294.394022,0,0,0,0,4294.394022,,
Liberia,0,0,0,1359.065217,0,0,0,0,0,0,0,0,0,0,1359.065217,,
Libya,70296565.49,0,0,87387762.91,385953339.8,80604729.81,0,13042209.13,113771840.6,229408341.3,374380935.9,724003733.2,55991092.61,580369862.9,2715210414,,
Liechtenstein,8007.309782,5994.836958,0,30313.38587,0,0,0,0,0,2003.942935,0,0,0,0,46319.47554,,
