Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kazakhstan,Bermuda,Import,  All Products,Import (US$ Thousand),91.399,,,,,,,,15.4,,0.071,,,1.121,75.889,2.096,8.734,2.7,0.345,15.276,11.874,7.049,1.16901,0.94074,4.38947,0.06085,0.83357
Kazakhstan,Bhutan,Import,  All Products,Import (US$ Thousand),,,,85.697,173.487,65.1,20.5,,,,,,,,,,1.075,,0.073,,0.333,,,,,,
Kazakhstan,Bolivia,Import,  All Products,Import (US$ Thousand),,,,1761,2554.399,,,,2077.2,0.775,,0.587,52.707,43.185,807.692,52.536,1485.427,1412,459.937,553.636,1096.921,168.204,66.93595,0.52713,1.53111,139.70498,1272.88987
Kazakhstan,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),,,107.8,,6.6,,6.6,21.5,27.2,27.459,19.069,399.917,217.958,168.246,182.484,323.58,812.443,969,854.45,1053.295,794.051,797.676,524.46735,714.28256,430.43971,602.1522,704.31475
Kazakhstan,Botswana,Import,  All Products,Import (US$ Thousand),,,,,,,0.2,,,,,,,1.129,0.851,0.068,0.289,,0.119,,,,,,14.38105,,
Kazakhstan,Bouvet Island,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,13.421,,0.342,,,3.789,,,,,
Kazakhstan,Brazil,Import,  All Products,Import (US$ Thousand),138.8,461.799,14357.697,40015.191,36993.988,27566.3,67862.3,71864.7,87989.9,115816.926,166609.427,182957.338,141714.113,247907.869,201440.315,225405.144,342558.131,297937.8,331445.843,256036.009,127697.543,156065.627,111510.3634,102083.0558,255923.3097,38960.90459,96700.01414
Kazakhstan,British Indian Ocean Ter.,Import,  All Products,Import (US$ Thousand),,,,,6.199,42.5,0.2,,55.9,0.008,1.487,0.057,41.402,1.603,,,3.25,0.1,0.191,,,,,0.008,,,0.02237
Kazakhstan,British Virgin Islands,Import,  All Products,Import (US$ Thousand),9.399,510.498,2660.097,,107.497,244.2,100.2,417.5,374.5,2273.317,486.839,14745.819,9508.648,13542.077,1244.953,101.089,7.478,5.9,2534.516,307.457,427.772,59.637,166.15323,,0.04293,,0.73055
Kazakhstan,Brunei,Import,  All Products,Import (US$ Thousand),,,42.6,,,1.2,38.2,100.8,,,0.568,,2.661,,4.64,1.169,,,,4.776,0.027,,1.65279,,36.3636,,
Kazakhstan,Bulgaria,Import,  All Products,Import (US$ Thousand),7509.464,7260.332,9650.724,8697.233,2171.762,3271.8,6380.6,5939.6,8532.3,14675.31,20566.274,24703.383,99529.612,40911.343,23580.682,84473.418,30708.658,47030.1,65603.747,56204.855,32845.673,22163.285,37339.12443,29720.91264,48793.08561,38611.51645,35880.52
Kazakhstan,Burkina Faso,Import,  All Products,Import (US$ Thousand),,,,,,,0.3,,,62.246,,,,,37.112,,1.278,,0.069,0.295,,,,,,,
Kazakhstan,Burundi,Import,  All Products,Import (US$ Thousand),,,,,20.299,,,,,,,,,,,,0.75,7,4.531,0.212,1836.412,12.053,2.72667,,,1061.95236,1.26512
Kazakhstan,Cambodia,Import,  All Products,Import (US$ Thousand),,19.299,,,,0.1,1.2,14.4,3.7,12.175,66.334,169.761,388.533,1135.593,1008.076,1587.95,2531.753,3644.7,4214.187,5788.851,5037.816,4309.53,4830.67385,7245.17979,7249.95496,5591.91473,5356.15593
Kazakhstan,Cameroon,Import,  All Products,Import (US$ Thousand),185.8,191.095,1026.296,,,1.8,1.5,,,,,0.818,1.675,2.487,,0.94,26.453,,5.553,9.13,0.185,0.058,39.0373,97.30625,32.73907,36.12686,65.25883
Kazakhstan,Canada,Import,  All Products,Import (US$ Thousand),7748.772,6434.563,24417.447,38960.276,16359.018,23072.7,38810.2,46613.2,56265.6,97114.852,127255.943,138508.866,180634.967,329417.433,245921.993,217175.937,174265.459,203659.4,238832.598,177543.384,254727.276,111192.043,154152.2601,108837.5835,198492.2253,111249.9602,85819.4077
Kazakhstan,Cape Verde,Import,  All Products,Import (US$ Thousand),,,,,,,16.8,,,,,,1.529,,,,1.13,,,0.195,1.504,,0.45209,8.21685,0.90717,,7.16034
Kazakhstan,Cayman Islands,Import,  All Products,Import (US$ Thousand),,1100.3,,,871.295,18.2,,,,50.177,,,984.616,48.517,1.239,,,0.9,,0.04,1.086,,,,5.364,0.21121,1.87489
Kazakhstan,Central African Republic,Import,  All Products,Import (US$ Thousand),,9.499,32.999,,,,6.6,0.4,0.9,,,1.171,9.361,0.016,0.03,,4.71,,3.145,3.548,,0.087,,0.30848,0.80752,,
Kazakhstan,Chad,Import,  All Products,Import (US$ Thousand),4.899,,,,,0.1,,5,,,,,,,,,,,0.387,19.479,,,,,,,
Kazakhstan,Chile,Import,  All Products,Import (US$ Thousand),36249.098,4811.599,293.2,79.097,71.197,135,39.1,302.9,215.2,922.54,23005.493,1463.533,2704.412,3238.219,5525.428,6042.513,8709.721,23379.7,13637.581,9912.373,12369.205,5965.777,7072.70584,8255.57614,11455.64547,13535.91092,15087.2101
Kazakhstan,China,Import,  All Products,Import (US$ Thousand),34665.884,35818.194,46586.312,59285.731,82710.817,150919.4,171983.9,313027.4,523702.9,758232.855,1251837.761,1924942.799,3507275.77,4565058.24,3569528.097,3964519.584,5021097.548,7497716.2,8364465.531,7357220.265,5087800.821,3665652.488,4694998.733,5384163.38,6788625.829,6377843.608,8228456.853
Kazakhstan,Christmas Island,Import,  All Products,Import (US$ Thousand),,20.5,,,,,,,,,,,,,,,0.305,0.1,,,,,0.98083,,,0.05012,0.05967
Kazakhstan,Cocos (Keeling) Islands,Import,  All Products,Import (US$ Thousand),,,,,,,,0.1,,,,33.025,,7.355,,,36.975,0.1,1.029,9.601,,18.52,1.88335,6.932,2.938,,
Kazakhstan,Colombia,Import,  All Products,Import (US$ Thousand),29.8,6.199,86.1,272.095,2174.798,120.7,0.2,25.2,135.1,152.011,279.945,754.904,1005.027,1911.704,3174.552,3213.887,3336.623,3249,6398.041,5447.576,4764.099,3949.293,3325.06576,3994.29355,4070.57693,3911.46159,5431.7573
Kazakhstan,Comoros,Import,  All Products,Import (US$ Thousand),,,,,,1.6,,,,,0.001,,1.948,,0.238,,,,4.196,4.09,,9.36,6.2,5.49132,,16.55642,0.79949
Kazakhstan,"Congo, Dem. Rep.",Import,  All Products,Import (US$ Thousand),,505.8,,,,,,,,0.501,,,,190.579,80.227,51.231,4499.535,15294.6,10470.415,4248.756,6746.954,10767.488,948.98765,3353.17431,8214.01335,4035.91466,4822.36137
Kazakhstan,"Congo, Rep.",Import,  All Products,Import (US$ Thousand),,,,3.098,,405.8,0.9,,,0.198,,,,2.625,,7.409,159.154,,,0.144,,,,4.31662,13.38194,19.18685,64.66275
Kazakhstan,Cook Islands,Import,  All Products,Import (US$ Thousand),,,,,,5.7,,,,,,,,,,2.463,5.999,36.9,86.454,0.461,,,,,,,
Kazakhstan,Costa Rica,Import,  All Products,Import (US$ Thousand),,,,,38.198,21.4,38.3,49.7,62.1,436.152,525.625,454.867,1130.838,1438.769,1050.831,2947.396,5954.717,8970.4,5593.774,3746.88,4414.062,832.729,981.01128,1524.35617,2006.32824,2067.59062,8079.79297
Kazakhstan,Cote d'Ivoire,Import,  All Products,Import (US$ Thousand),,117.899,77.399,,1224.699,1203.2,1420.9,4837.8,2097.7,3018.332,3203.46,2997.725,3439.322,3084.29,6630.22,2147.14,1560.057,997.6,485.611,718.892,2034.316,2689.279,2506.10598,3420.563,2941.02071,1503.69693,602.96637
Kazakhstan,Croatia,Import,  All Products,Import (US$ Thousand),40.398,698.588,2696.089,1185.97,3560.598,953.3,1635.3,5137.6,7854.1,8450.342,4792.979,7384.505,9939.605,16651.714,11581.394,15857.928,14110.483,17830.9,16397.49,17686.165,11111.062,6571.082,12872.35272,11482.82949,9068.33159,21251.76938,19136.46462
