"biogeographic_region","Reporter Name","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","sum_1989_to_2007T","sum_2008_to_2021T","cumulativeT"
"S.Cone.Pacific","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,778608.065676377,514675.705350821,956734.650424544,873443.620701572,717444.706148505,969664.448695087,1111377.40730689,837172.10726349,731091.821727432,751462.725626947,1042664.07544265,174111.42841194,158485.268684838,232904.828031044,0.0093066059908732,0.00984984085949213,0.0191564468503653
"S.Cone.Pacific","North America",4177597.89212572,4410776.71020804,57355286.5637466,66960214.5424943,73903909.3289978,86579479.8408228,98257126.7668711,103744911.527967,111522865.330111,117940442.904826,123571309.253423,133135068.536246,118364307.942669,124757528.128597,124693518.850458,136030527.916301,148787391.820495,157588476.471603,149803952.49391,146722365.205957,115430040.853679,130581211.974776,142004089.838496,133445420.749,135428885.680836,144899274.100358,149759230.587094,148381274.015897,154223980.834997,156651538.797185,155048193.469064,156120040.649923,186221171.354173,1.94158469282187,2.05491671811143,3.99650141093331
"SE.Asia","Australia",3716840.08450833,3734199.23241519,4398394.80357209,5265880.22060026,5755418.95389956,6994486.55403501,7879051.20677496,8618560.53920795,9237061.06775737,9379821.34722138,11042589.6110361,13669419.1211284,12936575.1853665,16350032.5461741,21441575.5202394,28770562.0495997,34508594.3597561,39516097.6574993,49841444.4294824,59532188.7293419,56938761.1067429,70098473.7963702,73482081.9252529,78184625.5961636,75316089.8030937,76425477.1279367,76964862.5221074,74051337.2700844,80825138.1195556,87787137.7084953,83637053.5677367,87092231.4536166,101933210.835611,0.293056604490274,1.08226866956211,1.37532527405238
"SE.Asia","Europe",20872402.0600974,27301204.1913816,34152768.8559657,45186263.9886797,59616032.0747243,92654605.2839466,106650432.293165,118421343.215742,125015530.608171,133212961.749198,150688349.691923,190746645.554275,196125460.384392,220263695.950823,288602533.768404,378847538.774724,456550612.555987,548375475.868386,710839261.056292,812247923.901752,664106202.944129,806294432.264425,883407796.481733,810923495.434172,812804330.155027,850939429.125998,773862070.344187,783686282.491578,840638091.181757,889445527.094209,888823386.987249,896840662.668765,1084231369.29636,3.90412311792628,11.7982510003713,15.7023741182976
"SE.Asia","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798705.86641109,506914.802791659,461272.7549362,695172.7252613,875035.5558068,515959.8922388,435906.15581158,255322.619181095,227665.3911662,395438.0157708,377142.79042008,206729.504590813,167750.0425711,225982.1120267,0.00267421678865852,0.00614499822898422,0.00881921501764274
"SE.Asia","North America",3789653.56055177,4022091.5435841,72508356.6205483,91608388.0681697,107181463.52015,126459852.975709,141590397.76115,150717868.451185,175369461.913577,195320858.990997,221046233.125808,243368369.233077,237033808.794737,296354705.195669,347746507.754449,431948014.06784,512943401.537744,584544715.598182,630481659.812463,642014508.224865,555431240.315898,677355447.038224,725079309.693625,727800485.762703,739336983.167468,799799919.135313,819628411.563833,781201772.478197,834700304.392662,872944274.455945,757919809.14074,729839220.688355,847480617.046801,4.57403580852559,10.5105323031046,15.0845681116302
"Subsaharan.Africa","Australia",305063.984918551,287105.510967582,235579.981737689,281996.748283434,401516.371775848,501171.412602161,648810.219440995,883635.553058888,903803.147975579,751093.230227969,926446.350621903,1060329.92406646,914981.946877548,1141557.08032553,1459123.5279613,1722040.61356838,2256505.50388343,2054791.56892473,2011772.71619758,2142527.42549387,1492659.45307131,3584178.40259028,6391417.19004749,7657711.28247873,6080153.46702809,5725193.08852639,2049436.70341198,2008680.79736628,2720506.37416534,2787761.29209222,1625669.84536136,2152369.04824707,2506658.30969907,0.0187473253934156,0.0489249226795795,0.0676722480729951
"Subsaharan.Africa","Europe",22894443.7699027,25443779.1944956,22696721.9902253,25721603.5490298,24559630.0500342,43310785.9518291,41355200.7323262,52007154.4727654,49367816.7463201,45578393.03755,49957847.887809,64167314.6174663,68806965.5542639,65547097.9145761,73709900.3535617,83243203.6797066,96665004.8586049,108047964.796849,118756343.94209,152240171.108223,108705452.715676,110570893.145499,157733919.226681,157880298.983528,149753988.525358,141232817.986635,104977321.7595,92542769.8472831,95808981.2614274,114443331.195349,112267970.293067,95677031.0046744,115842904.27186,1.08183717309941,1.70967785132476,2.79151502442417
"Subsaharan.Africa","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.608021717,355.3733697,1055.174551424,352311.644657365,290316.725206458,182262.878535356,228399.144469521,89008.6398139113,11080.148420296,51931.031895355,73608.5715365735,10773.1098931102,186021.602785438,17853.6355931643,0.00147595967140659,0.00149537728874939,0.00297133696015598
"Subsaharan.Africa","North America",2113376.46883286,1890640.33434794,27979678.3245378,27954529.4853245,28242120.3231072,26318708.967523,27444411.912806,31394684.2865976,33182879.2585466,26145965.3067553,27056128.3024284,41091891.3394121,35499209.848966,30652614.4735729,43619431.5702341,59017316.5227273,80533362.4465868,93027648.7351725,103396793.729141,128734293.641471,70270283.8253971,97149317.6337553,108575240.269605,70433542.0640916,53331168.4437293,35956338.7823906,25176956.0969871,26173031.2876552,30802135.4857831,29116629.9799054,24278713.2078831,23194814.4291767,33190633.4815637,0.74656139163662,0.756383098629394,1.50294449026601
"North America","Australia",23842812.3377738,22896389.4931489,21734566.1562712,20660655.8632667,20132030.2796762,23801332.6622036,26541318.9349027,29349921.8721386,26921900.0889267,26473452.6849293,26322479.4873082,27161528.8626062,21732087.2974116,24231000.1268337,25491024.2036162,28219006.824856,29487826.6783801,32227899.1349368,33753814.5003448,37562136.1514539,28669081.5125172,33735286.7875699,38580851.6906758,41895013.7972789,33473127.8380706,33318465.4719954,30959903.1863843,29423615.4918188,31387193.3617824,31596806.1953857,33281605.3880418,31134328.7603183,31908650.5789685,0.490981047489531,0.466926066212262,0.957907113701793
"North America","Europe",101162004.086842,108723489.418064,108654610.095492,151683919.750234,192582379.108946,278497098.521235,321407913.540458,335906184.473687,361254477.014667,372989808.250061,377692420.277534,430164792.797198,395439138.948693,368602831.192976,381500777.889439,420666959.831885,429796721.98589,486083590.19562,556354736.929322,615378290.923715,496378246.114739,484582321.474413,537005449.913665,535823464.411358,517294326.853023,514396139.098588,473883961.215153,481716822.65835,506904985.156854,530015011.310964,536856446.656529,475917286.102863,528952889.356935,6.17916385430824,7.23510564124715,13.4142694955554
"North America","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100095.1199,74218.43426,95964.53571,103314.215,106773.9497,107366.5964,199100.0062,207690.6052,181276.8076,107145.0727,102699.9962,85701.77531,105019.1806,91398.72565,0.00180215161060827,0.00166776502043,0.00346991663103827
"North America","North America",182853758.678089,174125791.126115,376587155.074167,391950588.334213,423982443.058746,474602452.519048,513385471.447129,531134216.121519,574522674.127922,585868186.320446,630078714.411793,686452451.523191,619323457.882126,599474914.718306,616702337.987973,681125752.115429,737484852.733335,755330795.982475,770175758.192698,784829472.106747,558723665.047557,669087742.855879,734748460.218624,739281104.215051,747719139.212669,781286977.969354,674929189.647054,626952261.108396,658349866.948733,676647820.482961,664941315.851213,559136396.470852,678580218.532793,10.3251617723547,9.55521363066788,19.8803754030226
