"biogeographic_region","Year","Reporter Name","Dollars"
"Subsaharan.Africa",1999,"Australia",926446.350621903
"North America",1999,"Australia",26322479.4873082
"Amazonia",2000,"Australia",812418.226645598
"Arabia.Sahara",2000,"Australia",1838767.28778844
"C.America",2000,"Australia",527791.709784748
"Carribbean",2000,"Australia",21431.7952889541
"Eurasian.Palearctic",2000,"Australia",28366478.4252368
"Iberia.N.Africa",2000,"Australia",963365.456175328
"Middle.East",2000,"Australia",840666.301053243
"N.Pacific",2000,"Australia",21751289.4008341
"S.Cone.Pacific",2000,"Australia",15275401.696604
"SE.Asia",2000,"Australia",13669419.1211284
"Subsaharan.Africa",2000,"Australia",1060329.92406646
"North America",2000,"Australia",27161528.8626062
"Amazonia",2001,"Australia",584573.187952129
"Arabia.Sahara",2001,"Australia",1333000.82353439
"C.America",2001,"Australia",602357.4828733
"Carribbean",2001,"Australia",20193.142474693
"Eurasian.Palearctic",2001,"Australia",25624365.7131668
"Iberia.N.Africa",2001,"Australia",928556.285854477
"Middle.East",2001,"Australia",631949.148510912
"N.Pacific",2001,"Australia",18594863.3328666
"S.Cone.Pacific",2001,"Australia",14122951.9819593
"SE.Asia",2001,"Australia",12936575.1853665
"Subsaharan.Africa",2001,"Australia",914981.946877548
"North America",2001,"Australia",21732087.2974116
"Amazonia",2002,"Australia",585589.895314381
"Arabia.Sahara",2002,"Australia",1238720.71618692
"C.America",2002,"Australia",525508.677497151
"Carribbean",2002,"Australia",24625.4222313051
"Eurasian.Palearctic",2002,"Australia",29300200.1439148
"Iberia.N.Africa",2002,"Australia",1211172.79157115
"Middle.East",2002,"Australia",814062.16856843
"N.Pacific",2002,"Australia",19900958.1201045
"S.Cone.Pacific",2002,"Australia",15240868.709729
"SE.Asia",2002,"Australia",16350032.5461741
"Subsaharan.Africa",2002,"Australia",1141557.08032553
"North America",2002,"Australia",24231000.1268337
"Amazonia",2003,"Australia",712012.63444067
"Arabia.Sahara",2003,"Australia",1123492.52747334
"C.America",2003,"Australia",706357.875481874
"Carribbean",2003,"Australia",19842.2084992766
"Eurasian.Palearctic",2003,"Australia",35655787.4333078
"Iberia.N.Africa",2003,"Australia",1464602.02812191
"Middle.East",2003,"Australia",810939.608990907
"N.Pacific",2003,"Australia",23707172.8468245
"S.Cone.Pacific",2003,"Australia",18760459.8669719
"SE.Asia",2003,"Australia",21441575.5202394
"Subsaharan.Africa",2003,"Australia",1459123.5279613
"North America",2003,"Australia",25491024.2036162
"Amazonia",2004,"Australia",855414.27914948
"Arabia.Sahara",2004,"Australia",1423980.00981927
"C.America",2004,"Australia",911661.287374372
"Carribbean",2004,"Australia",22397.476337964
"Eurasian.Palearctic",2004,"Australia",42169739.5386557
"Iberia.N.Africa",2004,"Australia",1858245.07571893
"Middle.East",2004,"Australia",921616.964931662
"N.Pacific",2004,"Australia",26826878.984338
"S.Cone.Pacific",2004,"Australia",21882157.4368633
