"country","sciname"
"Australia","Moringa oleifera"
"Australia","Senna siamea"
"Australia","Bauhinia variegata"
"Australia","Phyllanthus acidus"
"Australia","Atalantia buxifolia"
"Australia","Tamarix indica"
"Australia","Euphorbia tirucalli"
"Australia","Citrus trifoliata"
"Australia","Parmentiera aculeata"
"Australia","Hiptage benghalensis"
"Australia","Eugenia brasiliensis"
"Australia","Chrysophyllum cainito"
"Australia","Haematoxylum campechianum"
"Australia","Trema cannabina"
"Australia","Pinus caribaea"
"Australia","Magnolia champaca"
"Australia","Syzygium cumini"
"Australia","Cordia dichotoma"
"Australia","Castilla elastica"
"Australia","Ficus elastica"
"Australia","Manihot esculenta"
"Australia","Ixora finlaysoniana"
"Australia","Dracaena fragrans"
"Australia","Annona glabra"
"Australia","Acaciella glauca"
"Australia","Tectona grandis"
"Australia","Psidium guineense"
"Australia","Volkameria heterophylla"
"Australia","Artocarpus heterophyllus"
"Australia","Flacourtia jangomas"
"Australia","Coffea liberica"
"Australia","Harungana madagascariensis"
"Australia","Bauhinia monandra"
"Australia","Miconia nervosa"
"Australia","Cocos nucifera"
"Australia","Cedrela odorata"
"Australia","Bixa orellana"
"Australia","Carica papaya"
"Australia","Gmelina philippensis"
"Australia","Mussaenda philippica"
"Australia","Euphorbia pulcherrima"
"Australia","Bauhinia purpurea"
"Australia","Miconia racemosa"
"Australia","Camellia sinensis"
"Australia","Senna spectabilis"
"Australia","Chukrasia tabularis"
"Australia","Codiaeum variegatum"
"Australia","Acalypha wilkesiana"
"Australia","Garcinia xanthochymus"
"Australia","Pyrus calleryana"
"Australia","Lagerstroemia indica"
"Australia","Cydonia oblonga"
"Australia","Tipuana tipu"
"Australia","Bauhinia galpinii"
"Australia","Citharexylum spinosum"
"Australia","Peltophorum pterocarpum"
"Australia","Solanum abutiloides"
"Australia","Brunfelsia australis"
"Australia","Ficus benghalensis"
"Australia","Schotia brachypetala"
"Australia","Pinus clausa"
"Australia","Fraxinus griffithii"
"Australia","Diospyros kaki"
"Australia","Leptospermum laevigatum"
"Australia","Cordia myxa"
"Australia","Ficus religiosa"
"Australia","Syagrus romanzoffiana"
"Australia","Calliandra surinamensis"
"Australia","Rauvolfia tetraphylla"
"Australia","Euphorbia umbellata"
"Australia","Butea monosperma"
"Australia","Gmelina elliptica"
"Australia","Flacourtia indica"
"Australia","Cordia sinensis"
"Australia","Desmodium cinereum"
"Australia","Dalbergia latifolia"
"Australia","Pinus canariensis"
"Australia","Pyrus communis"
"Australia","Euphorbia dendroides"
"Australia","Eucalyptus gomphocephala"
"Australia","Tamarix parviflora"
"Australia","Prunus simonii"
"Australia","Austrocylindropuntia subulata"
"Australia","Cercis siliquastrum"
"Australia","Melaleuca armillaris"
"Australia","Eucalyptus globulus"
"Australia","Hakea laurina"
"Australia","Pinus nigra"
"Australia","Pinus ponderosa"
"Australia","Brachychiton populneus"
"Australia","Crataegus azarolus"
"Australia","Corymbia calophylla"
"Australia","Acacia dealbata"
"Australia","Anagyris foetida"
"Australia","Chamaerops humilis"
"Australia","Callistachys lanceolata"
"Australia","Acacia longifolia"
"Australia","Ulmus minor"
"Australia","Crataegus crus-galli"
"Australia","Quercus ilex"
"Australia","Hakea prostrata"
"Australia","Noltea africana"
"Australia","Carpinus caroliniana"
"Australia","Eucalyptus cinerea"
"Australia","Pyracantha coccinea"
"Australia","Myrtus communis"
"Australia","Eucalyptus conferruminata"
"Australia","Angophora costata"
"Australia","Kunzea ericoides"
"Australia","Corymbia ficifolia"
"Australia","Washingtonia filifera"
"Australia","Acacia fimbriata"
"Australia","Acacia floribunda"
"Australia","Ceratopetalum gummiferum"
"Australia","Melaleuca hypericifolia"
"Australia","Corymbia maculata"
"Australia","Quercus palustris"
"Australia","Crataegus phaenopyrum"
"Australia","Prunus salicina"
"Australia","Eucalyptus saligna"
"Australia","Viburnum tinus"
"Australia","Wigandia urens"
"Australia","Lupinus arboreus"
"Australia","Salix atrocinerea"
"Australia","Sorbus aucuparia"
"Australia","Erica caffra"
"Australia","Alnus cordata"
"Australia","Euonymus europaeus"
"Australia","Lomatia fraseri"
"Australia","Acacia howittii"
"Australia","Griselinia littoralis"
"Australia","Acacia paradoxa"
"Australia","Betula pendula"
"Australia","Acacia pravissima"
"Australia","Acacia retinodes"
"Australia","Coprosma robusta"
"Australia","Hakea salicifolia"
"Australia","Polyscias sambucifolia"
"Australia","Ribes sanguineum"
"Australia","Syzygium smithii"
"Australia","Prunus spinosa"
"Australia","Pittosporum tenuifolium"
"Australia","Pinus wallichiana"
"Australia","Acacia acuminata"
"Australia","Eucalyptus astringens"
"Australia","Spiraea cantoniensis"
"Australia","Cornus capitata"
"Australia","Eucalyptus cladocalyx"
"Australia","Acacia cyclops"
"Australia","Cedrus deodara"
"Australia","Allocasuarina diminuta"
"Australia","Acacia elata"
"Australia","Acacia elongata"
"Australia","Metrosideros excelsa"
"Australia","Fraxinus excelsior"
"Australia","Trachycarpus fortunei"
"Australia","Melaleuca incana"
"Australia","Eucalyptus kondininensis"
"Australia","Phillyrea latifolia"
"Australia","Opuntia leucotricha"
"Australia","Ageratina ligustrina"
"Australia","Melaleuca linariifolia"
"Australia","Eucalyptus longifolia"
"Australia","Eucalyptus macarthurii"
"Australia","Eucalyptus megacornuta"
"Australia","Pseudotsuga menziesii"
"Australia","Acacia mollifolia"
"Australia","Pinus muricata"
"Australia","Laurus nobilis"
"Australia","Callitris oblonga"
"Australia","Eucalyptus occidentalis"
"Australia","Hakea oleifolia"
"Australia","Symphoricarpos orbiculatus"
"Australia","Fraxinus ornus"
"Australia","Ligustrum ovalifolium"
"Australia","Acer palmatum"
"Australia","Hakea petiolaris"
"Australia","Homalanthus populifolius"
"Australia","Hoheria populnea"
