Pathogen.Species,Geographic.Origin.Cluster,Invaded.Range.Cluster
Bretziella fagacearum,C.America,SE.North.America
Calonectria colhounii,NE.North.America,Hawaii
Calonectria ilicicola,Eurasian.Palearctic,Hawaii
Calonectria indusiata,Amazonia,Hawaii
Calonectria morganii,NE.North.America,Eurasian.Palearctic
Calonectria pauciramosa,Subsaharan.Africa,Eurasian.Palearctic
Candidatus Phytoplasma ulmi,Eurasian.Palearctic,N.North.America
Candidatus Phytoplasma ulmi,Eurasian.Palearctic,NE.North.America
Candidatus Phytoplasma ulmi,Eurasian.Palearctic,SE.North.America
Candidatus Phytoplasma ulmi,Eurasian.Palearctic,W.North.America
Ceratocystis fimbriata,Amazonia,Hawaii
Ceratocystis huliohia,SE.Asia,Hawaii
Ceratocystis lukuohia,Caribbean,Hawaii
Ceratocystis platani,SE.North.America,Eurasian.Palearctic
Ceratocystis platani,SE.North.America,W.North.America
Coleosporium plumeriae,Amazonia,Australia
Colletotrichum salicis,SE.Asia,Eurasian.Palearctic
Colletotrichum salicis,SE.Asia,Australia
Cristulariella depraedans,Eurasian.Palearctic,NE.North.America
Cristulariella depraedans,Eurasian.Palearctic,SE.North.America
Cristulariella depraedans,Eurasian.Palearctic,W.North.America
Cronartium ribicola,SE.Asia,Eurasian.Palearctic
Cronartium ribicola,SE.Asia,NE.North.America
Cronartium ribicola,SE.Asia,W.North.America
Cryphonectria parasitica,SE.Asia,Eurasian.Palearctic
Cryphonectria parasitica,SE.Asia,NE.North.America
Cryphonectria parasitica,SE.Asia,N.North.America
Cryphonectria parasitica,SE.Asia,SE.North.America
Cryptodiaporthe populea,Eurasian.Palearctic,NE.North.America
Cryptodiaporthe populea,Eurasian.Palearctic,N.North.America
Cryptodiaporthe populea,Eurasian.Palearctic,W.North.America
Cryptostroma corticale,NE.North.America,Eurasian.Palearctic
Cryptostroma corticale,NE.North.America,W.North.America
Cumminsiella mirabilissima,W.North.America,Eurasian.Palearctic
Cumminsiella mirabilissima,W.North.America,Australia
Cyclaneusma minus,Eurasian.Palearctic,Australia
Cyclaneusma niveum,Eurasian.Palearctic,Australia
Didymascella thujina,NE.North.America,Eurasian.Palearctic
Didymascella thujina,W.North.America,Eurasian.Palearctic
Diplodia africana,Subsaharan.Africa,Australia
Diplodia africana,Subsaharan.Africa,W.North.America
Diplodia africana,Subsaharan.Africa,Eurasian.Palearctic
Diplodia africana,Subsaharan.Africa,Australia
Diplodia sapinea,Eurasian.Palearctic,NE.North.America
Diplodia sapinea,Eurasian.Palearctic,Australia
Diplodia sapinea,Eurasian.Palearctic,SE.North.America
Diplodia sapinea,Eurasian.Palearctic,W.North.America
Diplodia sapinea,Eurasian.Palearctic,Australia
Discochora pini,SE.Asia,Australia
Dothistroma pini,N.North.America,Eurasian.Palearctic
Dothistroma pini,NE.North.America,Eurasian.Palearctic
Dothistroma pini,W.North.America,Eurasian.Palearctic
Dothistroma septosporum,Eurasian.Palearctic,N.North.America
