"Pathogen.Species","Geographic.Origin.Cluster","Invaded.Range.Cluster"
"Harringtonia lauricola","N.Pacific","NE.North.America"
"Harringtonia lauricola","N.Pacific","SE.North.America"
"Heterobasidion irregulare","NE.North.America","Eurasian.Palearctic"
"Inonotus rickii","Amazonia","Eurasian.Palearctic"
"Kabatina juniperi","NE.North.America","Eurasian.Palearctic"
"Kabatina thujae","NE.North.America","Eurasian.Palearctic"
"Lachnellula willkommii","Eurasian.Palearctic","NE.North.America"
"Lasiodiplodia theobromae","C.America","NE.North.America"
"Lasiodiplodia theobromae","C.America","Australia"
"Lasiodiplodia theobromae","C.America","SE.North.America"
"Lasiodiplodia theobromae","C.America","W.North.America"
"Lecanosticta acicola","C.America","Eurasian.Palearctic"
"Lecanosticta acicola","C.America","N.North.America"
"Lecanosticta acicola","C.America","NE.North.America"
"Lecanosticta acicola","C.America","SE.North.America"
"Lecanosticta acicola","C.America","W.North.America"
"Lepteutypa cupressi","Subsaharan.Africa","Eurasian.Palearctic"
"Lepteutypa cupressi","Subsaharan.Africa","Australia"
"Leptographium procerum","Eurasian.Palearctic","N.North.America"
"Leptographium procerum","Eurasian.Palearctic","NE.North.America"
"Leptographium procerum","Eurasian.Palearctic","SE.North.America"
"Leptographium procerum","Eurasian.Palearctic","W.North.America"
"Leptographium wingfieldii","Eurasian.Palearctic","NE.North.America"
"Litylenchus crenatae mccannii","N.Pacific","NE.North.America"
"Lophodermium pinastri","Eurasian.Palearctic","N.North.America"
"Lophodermium pinastri","Eurasian.Palearctic","NE.North.America"
"Lophodermium pinastri","Eurasian.Palearctic","Australia"
"Lophodermium pinastri","Eurasian.Palearctic","SE.North.America"
"Lophodermium pinastri","Eurasian.Palearctic","W.North.America"
"Lophodermium pini-excelsae","SE.Asia","Australia"
"Melampsora larici-populina","Eurasian.Palearctic","W.North.America"
"Melampsora laricis-populina","Eurasian.Palearctic","Australia"
"Melampsora medusae","NE.North.America","Eurasian.Palearctic"
"Melampsora medusae","NE.North.America","Australia"
"Melampsora yoshinagai","N.Pacific","Hawaii"
"Melampsoridium betulinum","Eurasian.Palearctic","NE.North.America"
"Melampsoridium betulinum","Eurasian.Palearctic","Australia"
"Melampsoridium betulinum","Eurasian.Palearctic","W.North.America"
"Melampsoridium hiratsukanum","N.Pacific","Eurasian.Palearctic"
"Melampsoridium hiratsukanum","N.Pacific","W.North.America"
"Melampsoridium sp. IHLR","N.Pacific","SE.North.America"
"Mycosphaerella vaccinii","Eurasian.Palearctic","Hawaii"
"Nalanthamala diospyri","N.Pacific","SE.North.America"
"Nectria cinnabarina","Eurasian.Palearctic","Hawaii"
"Neofabraea populi","NE.North.America","Eurasian.Palearctic"
"Neofusicoccum mediterraneum","Eurasian.Palearctic","W.North.America"
"Neofusicoccum parvum","Subsaharan.Africa","Hawaii"
"Neofusicoccum parvum","Subsaharan.Africa","Australia"
"Neofusicoccum parvum","Subsaharan.Africa","W.North.America"
"Nepovirus CLRV","Eurasian.Palearctic","N.North.America"
"Nepovirus CLRV","Eurasian.Palearctic","NE.North.America"
"Nepovirus CLRV","Eurasian.Palearctic","SE.North.America"
"Nepovirus CLRV","Eurasian.Palearctic","W.North.America"
"Nothophaeocryptopus gaeumannii","W.North.America","Eurasian.Palearctic"
"Nothophaeocryptopus gaeumannii","W.North.America","Australia"
"Ophiognomonia clavigignenti-juglandacearum","SE.Asia","NE.North.America"
"Ophiognomonia clavigignenti-juglandacearum","SE.Asia","SE.North.America"
"Ophiostoma novo-ulmi","SE.Asia","Eurasian.Palearctic"
"Ophiostoma novo-ulmi","SE.Asia","NE.North.America"
"Ophiostoma novo-ulmi","SE.Asia","N.North.America"
"Ophiostoma novo-ulmi","SE.Asia","SE.North.America"
"Ophiostoma pallidulum","Eurasian.Palearctic","Australia"
"Ophiostoma piliferum","Eurasian.Palearctic","NE.North.America"
"Ophiostoma piliferum","Eurasian.Palearctic","Australia"
"Ophiostoma ulmi","SE.Asia","Eurasian.Palearctic"
"Ophiostoma ulmi","SE.Asia","NE.North.America"
"Ophiostoma ulmi","SE.Asia","N.North.America"
"Ophiostoma ulmi","SE.Asia","SE.North.America"
"Paracremonium pembeum","SE.Asia","W.North.America"
"Passalora sequoiae","W.North.America","Eurasian.Palearctic"
"Phellinus grenadensis","Amazonia","Hawaii"
"Phellinus melleoporus","SE.North.America","Hawaii"
