"group","latent","lhs","op","rhs","est","se","pvalue"
"hieuau","rich","NMDS.Distance","~1","",-0.0310784910592097,0.161809193446128,0.84768834560191
"hieuau","rich","Climate.Distance","~1","",-0.190452975019658,0.144683297334514,0.188058644554498
"hieuau","rich","logNumber.of.pests","~1","",0.33640114749031,0.130526782833578,0.00995876932658346
"hieuau","rich","root4_trade","~1","",-0.495012521555189,0.152923851980044,0.00120798912643694
"hieuau","rich","log_numexotics","r2","log_numexotics",0.371279924142906,NA,NA
"hieuau","rich","NMDS.Distance","r2","NMDS.Distance",NA,NA,NA
"hieuau","rich","Climate.Distance","r2","Climate.Distance",0.34864732501946,NA,NA
"hieuau","rich","logNumber.of.pests","r2","logNumber.of.pests",0.336956894950411,NA,NA
"hi","rich","potential_richness","=~","log_numexotics",1,0,NA
"hi","rich","potential_richness","=~","NMDS.Distance",2.45842068879348,9.41800325546203,0.794066154512388
"hi","rich","potential_richness","=~","Climate.Distance",0.29505572092178,1.20954685396939,0.807278018337173
"hi","rich","logNumber.of.pests","~","potential_richness",0.186441911696521,0.288014210283705,0.517414630892768
"hi","rich","logNumber.of.pests","~","root4_trade",1.19655705822781,1.18135189938164,0.311121790551924
"hi","rich","NMDS.Distance","~~","Climate.Distance",0.12533523635822,0.872990393391761,0.885840026669058
"hi","rich","NMDS.Distance","~~","root4_trade",-0.00332786455316003,0.0205271422961432,0.871211194001331
"hi","rich","log_numexotics","~~","log_numexotics",0.772721810091872,1.07384672792661,0.471781804950206
"hi","rich","NMDS.Distance","~~","NMDS.Distance",2.80559946380304,6.35409770101232,0.65882083836462
"hi","rich","Climate.Distance","~~","Climate.Distance",0.46047126927545,0.208663601037502,0.027330569314989
"hi","rich","logNumber.of.pests","~~","logNumber.of.pests",0.448516826440939,0.167688584504864,0.0074795922466584
"hi","rich","root4_trade","~~","root4_trade",0.0207011464212998,0.00755898990744218,0.00616989932054413
"hi","rich","potential_richness","~~","potential_richness",-0.264838221908336,1.01405777025776,0.793963880330601
"hi","rich","log_numexotics","~1","",0.230530529026516,0.18400789624063,0.210267746674717
"hi","rich","NMDS.Distance","~1","",0.704690932213616,0.283426847521293,0.0129070447792423
"hi","rich","Climate.Distance","~1","",-0.221763024661454,0.170765924693032,0.194068380081112
"hi","rich","logNumber.of.pests","~1","",1.37144213074019,1.74725761425072,0.432505614736837
"hi","rich","root4_trade","~1","",-1.47192082035604,0.0371493799152376,0
"hi","rich","log_numexotics","r2","log_numexotics",-0.521454577525411,NA,NA
"hi","rich","NMDS.Distance","r2","NMDS.Distance",-1.32837237672486,NA,NA
"hi","rich","Climate.Distance","r2","Climate.Distance",-0.0527102475043848,NA,NA
"hi","rich","logNumber.of.pests","r2","logNumber.of.pests",0.0435716409324772,NA,NA
"eu","rich","potential_richness","=~","log_numexotics",1,0,NA
"eu","rich","potential_richness","=~","NMDS.Distance",0.814502178945155,1.80425987857336,0.651677611895552
"eu","rich","potential_richness","=~","Climate.Distance",-6.34138921902519,8.57596704601783,0.459641549140334
"eu","rich","logNumber.of.pests","~","potential_richness",1.61027584193649,0.864422682526734,0.0624856446332218
"eu","rich","logNumber.of.pests","~","root4_trade",0.550433438337987,0.2176841806359,0.0114522625766333
"eu","rich","NMDS.Distance","~~","Climate.Distance",0.279159170374351,0.515944834370008,0.588463477953515
"eu","rich","NMDS.Distance","~~","root4_trade",-0.308682065527764,0.174684269295206,0.0772138853870168
"eu","rich","log_numexotics","~~","log_numexotics",0.365827464563523,0.152919889070337,0.0167439817621604
"eu","rich","NMDS.Distance","~~","NMDS.Distance",0.715949406303642,0.301375827101328,0.0175202880451339
"eu","rich","Climate.Distance","~~","Climate.Distance",-1.39798774307957,2.68442988319782,0.602522541963681
"eu","rich","logNumber.of.pests","~~","logNumber.of.pests",0.569440989085223,0.273871947702947,0.037596812852422
"eu","rich","root4_trade","~~","root4_trade",0.442570896523035,0.16727607567355,0.00815097159350264
"eu","rich","potential_richness","~~","potential_richness",0.060128516557488,0.10520081307929,0.567620488498483
"eu","rich","log_numexotics","~1","",0.751176169639466,0.174428860063148,1.65865303509705e-05
"eu","rich","NMDS.Distance","~1","",-0.589634405954392,0.232354331314994,0.0111598931981136
"eu","rich","Climate.Distance","~1","",-0.0549067006241237,0.269917097695109,0.838806292224519
"eu","rich","logNumber.of.pests","~1","",0.0928740853079431,0.274902170505162,0.735480650317551
"eu","rich","root4_trade","~1","",0.708106392513943,0.177798219604423,6.81538055236075e-05
"eu","rich","log_numexotics","r2","log_numexotics",0.141161338782577,NA,NA
"eu","rich","NMDS.Distance","r2","NMDS.Distance",0.0527758709995247,NA,NA
"eu","rich","Climate.Distance","r2","Climate.Distance",NA,NA,NA
"eu","rich","logNumber.of.pests","r2","logNumber.of.pests",0.337429659336285,NA,NA
"au","rich","potential_richness","=~","log_numexotics",1,0,NA
"au","rich","potential_richness","=~","NMDS.Distance",-2.56374652247114,3.20257404554952,0.42340561172121
"au","rich","potential_richness","=~","Climate.Distance",-2.24345753580528,2.90313488976627,0.439658105776831
"au","rich","logNumber.of.pests","~","potential_richness",0.344603717326225,0.506100078881414,0.495934551014781
"au","rich","logNumber.of.pests","~","root4_trade",1.34610588369354,0.318845758839298,2.42349468519976e-05
"au","rich","NMDS.Distance","~~","Climate.Distance",-0.318306328861347,0.784079886267894,0.684770812002831
"au","rich","NMDS.Distance","~~","root4_trade",0.149785420004543,0.108405724143029,0.16706034643677
"au","rich","log_numexotics","~~","log_numexotics",0.0752133289092996,0.13636389611699,0.581247544547381
"au","rich","NMDS.Distance","~~","NMDS.Distance",0.307367196711619,0.901736325682176,0.733207849372393
"au","rich","Climate.Distance","~~","Climate.Distance",0.733684733885351,0.770062337864859,0.3407115926485
"au","rich","logNumber.of.pests","~~","logNumber.of.pests",0.389214841826886,0.143003555048293,0.00649442329443128
"au","rich","root4_trade","~~","root4_trade",0.257892486536873,0.0941690215248951,0.00616989932054413
"au","rich","potential_richness","~~","potential_richness",0.109579148740179,0.147104276546099,0.456327353735611
