"","all.boot_summary.R","all.boot_summary.original","all.boot_summary.bootBias","all.boot_summary.bootSE","all.boot_summary.bootMed","all.boot_summary.bootSkew","all.boot_summary.bootKurtosis","all.boot_summary.logmed","all.boot.p","nam.boot_summary.R","nam.boot_summary.original","nam.boot_summary.bootBias","nam.boot_summary.bootSE","nam.boot_summary.bootMed","nam.boot_summary.bootSkew","nam.boot_summary.bootKurtosis","nam.boot_summary.logmed","nam.boot.p","hieuau.boot_summary.R","hieuau.boot_summary.original","hieuau.boot_summary.bootBias","hieuau.boot_summary.bootSE","hieuau.boot_summary.bootMed","hieuau.boot_summary.bootSkew","hieuau.boot_summary.bootKurtosis","hieuau.boot_summary.logmed","hieuau.boot.p"
"Intercept",1000,0.751067505663071,-0.0321938856006566,0.174796530375748,0.725188129486261,-0.194382134871966,-0.0601546759503,2.06511957330809,0,1000,0.0871540770249516,-0.016862587568026,0.316279646054394,0.0885556203787083,-0.280101592934441,0.434213595902873,1.09259502146934,0.399,1000,1.0377906497495,-0.0709662607417528,0.209575327505308,0.976924563213014,-0.304840568793973,0.326923064827908,2.65627446290659,0
"Climate",1000,-0.339350830280394,0.0196238102035284,0.132734014042675,-0.322404692418539,0.167479189053014,0.217848844019454,0.724404969802612,0.01,1000,-0.268466674921058,0.000205896456101806,0.115110024598575,-0.264040741376932,-0.226181380167928,-0.214858294281792,0.767942251994609,0.003,1000,-0.165099305164534,-0.00405054355716813,0.219774695572327,-0.155841471535529,-0.0865998061836789,0.419817326484462,0.855694831606946,0.204
"Trade",1000,0.68749254239922,0.00729684832061572,0.124208648832016,0.690875224118939,0.110336238806803,0.0210818014921021,1.99546124499716,0,1000,1.05921995853366,-0.00379869257358112,0.159154928655007,1.05657703879717,0.0191900185162027,-0.0429059099287126,2.87650794339657,0,1000,0.620132750876063,-0.0161485735282271,0.177565886715939,0.607629800925975,0.0686035115618286,0.524855335879774,1.83607437553043,0
"NMDS.Dist",1000,-0.388943652836764,-1.00062408946444e-05,0.148185577708393,-0.379212922268053,-0.397480568401046,0.778748405668234,0.684399873177985,0.003,1000,-0.563584070840843,0.0106086073133415,0.116146166859665,-0.544768136338288,-0.39914433448909,0.77639722559532,0.579976243166517,0,1000,-0.108379355323638,-0.0225173931011906,0.183700516240128,-0.106623086026563,-0.867688337320232,1.30787155613954,0.898864403704107,0.229
"Non-native trees",1000,0.247484622504053,0.00315671720956234,0.0830441968038951,0.247529595912978,0.527080939962363,0.746548088432024,1.28085726996306,0,1000,0.209609382400423,-0.0366404640379517,0.132352290793088,0.188012985522266,-0.475339996055769,0.054845025631725,1.20684918681484,0.099,1000,0.0218521400126515,-0.00802513912588376,0.15383591892129,0.0111755724919935,0.0754029239398216,0.413196742365158,1.01123825247956,0.469
"Interaction",1000,0.110708273160798,0.0122317382089745,0.0884362125745841,0.119371312472417,0.191750600051076,1.46904058860814,1.12678823114515,0.064,1000,0.144903949731661,0.0264270523449901,0.149844368505288,0.145608728031241,1.03507335594057,1.55613189682575,1.15674349818826,0.077,1000,0.00982208767045836,0.00652908199160859,0.147345051568168,0.0166188283049078,-0.105692037016452,1.09058280103498,1.01675768920066,0.44
