"Invaded.Range.Cluster","Geographic.Origin.Cluster","Number.of.pests","NMDS.Distance","spatauto","Climate.Distance","Cumulative.Import.Value.T","NorthAm","number_of_exotic_trees"
"Australia","SE.Asia",10,0.0436606775222068,0,0.35435892024669,1.37532527405238,FALSE,102
"Eurasian.Palearctic","SE.Asia",14,0.391251678517127,0,0.399905370120453,15.7023741182976,FALSE,94
"Hawaii","SE.Asia",2,0.285445175938062,0,0.341845107576624,0.00881921501764274,FALSE,65
"N.North.America","SE.Asia",6,0.564129849332741,16,0.40505988979522,15.0845681116302,TRUE,15
"NE.North.America","SE.Asia",10,0.485415072577659,15,0.46702304208743,15.0845681116302,TRUE,34
"SE.North.America","SE.Asia",9,0.447756090520683,15,0.42465830714277,15.0845681116302,TRUE,38
"W.North.America","SE.Asia",9,0.389668663753533,12,0.262618905961245,15.0845681116302,TRUE,22
"Australia","SE.North.America",3,0.460857435148483,0,0.572092959419411,0.957907113701793,FALSE,65
"Eurasian.Palearctic","SE.North.America",5,0.263834110810742,0,0.47854180809827,13.4142694955554,FALSE,141
"Hawaii","SE.North.America",2,0.549292252788261,0,0.327826335502566,0.00346991663103827,FALSE,13
"Australia","Subsaharan.Africa",6,0.22397440329204,0,0.284194281937648,0.0676722480729951,FALSE,45
"Eurasian.Palearctic","Subsaharan.Africa",6,0.248642143949532,0,0.521524846137341,2.79151502442417,FALSE,8
"Hawaii","Subsaharan.Africa",1,0.459036221136973,0,0.452107201936929,0.00297133696015598,FALSE,30
"N.North.America","Subsaharan.Africa",0,0.481106896569295,4,0.536736515794655,1.50294449026601,TRUE,0
"NE.North.America","Subsaharan.Africa",1,0.412343075217477,4,0.584809008258011,1.50294449026601,TRUE,0
"SE.North.America","Subsaharan.Africa",1,0.404993968882794,3,0.560880926643212,1.50294449026601,TRUE,2
"W.North.America","Subsaharan.Africa",3,0.296042381988058,2,0.391224498306442,1.50294449026601,TRUE,0
"Australia","W.North.America",5,0.41504477831414,0,0.365538232619702,0.957907113701793,FALSE,32
"Eurasian.Palearctic","W.North.America",14,0.120235681930033,0,0.294317636814823,13.4142694955554,FALSE,77
"Hawaii","W.North.America",2,0.564574506425524,0,0.337549782079039,0.00346991663103827,FALSE,10
"Australia","Arabia.Sahara",0,0.334288714413042,0,0.238906816290233,0.0378247976279727,FALSE,31
"Eurasian.Palearctic","Arabia.Sahara",0,0.342396094680479,0,0.686684052120713,2.26911838237301,FALSE,19
"Hawaii","Arabia.Sahara",0,0.576572391360224,0,0.668369235500044,0.0102761697924954,FALSE,10
"N.North.America","Arabia.Sahara",0,0.604288839013037,0,0.68783750176728,1.26956759835833,TRUE,1
"NE.North.America","Arabia.Sahara",0,0.544785509678704,0,0.735292909253989,1.26956759835833,TRUE,1
"SE.North.America","Arabia.Sahara",0,0.550984241791283,0,0.724408154010668,1.26956759835833,TRUE,3
"W.North.America","Arabia.Sahara",0,0.425488062254748,0,0.545927313102891,1.26956759835833,TRUE,1
