"","t1","t2","total.r2.t1","total.r2.t2","axis.total.t1","rel.r2.t1","axis.total.both","axis.total.t2","rel.r2.t2","total"
"full.int",0.413606225920561,0.163209201839216,0.671608886724452,0.258898968572568,0.599648769511365,0.248018464435504,0.645330457493366,0.0456816879820008,0.00745567183421044,0.255474136269714
"int",0.00854193165648687,0.0202347828401377,0.671608886724452,0.258898968572568,0.599648769511365,0.00512215880706253,0.645330457493366,0.0456816879820008,0.000924359036086714,0.00604651784314924
"nmds",0.0859661792858242,0.00276707242735086,0.671608886724452,0.258898968572568,0.599648769511365,0.0515495136283379,0.645330457493366,0.0456816879820008,0.000126404539249839,0.0516759181675877
"trees",0.276295557834564,0.139497318888116,0.671608886724452,0.258898968572568,0.599648769511365,0.165680291276953,0.645330457493366,0.0456816879820008,0.00637247299577256,0.172052764272725
"trade",0.186330987784937,0.0903590974906234,0.671608886724452,0.258898968572568,0.599648769511365,0.111733147547075,0.645330457493366,0.0456816879820008,0.00412775609790185,0.115860903644977
"clim",0.0367365667197105,0.00414565524151156,0.671608886724452,0.258898968572568,0.599648769511365,0.0220290370295466,0.645330457493366,0.0456816879820008,0.000189380529223677,0.0222184175587702
"continent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total",NA,NA,NA,NA,NA,0.599648769511365,NA,NA,0,0.599648769511365
"fixed",0.671608886724452,0.258898968572568,0.671608886724452,0.258898968572568,0.599648769511365,0.402729442517216,0.645330457493366,0.0456816879820008,0.0118269419011939,0.414556384418409
