"","all.boot_summary.R","all.boot_summary.original","all.boot_summary.bootBias","all.boot_summary.bootSE","all.boot_summary.bootMed","all.boot_summary.bootSkew","all.boot_summary.bootKurtosis","all.boot_summary.logmed","all.boot.p","nam.boot_summary.R","nam.boot_summary.original","nam.boot_summary.bootBias","nam.boot_summary.bootSE","nam.boot_summary.bootMed","nam.boot_summary.bootSkew","nam.boot_summary.bootKurtosis","nam.boot_summary.logmed","nam.boot.p","hieuau.boot_summary.R","hieuau.boot_summary.original","hieuau.boot_summary.bootBias","hieuau.boot_summary.bootSE","hieuau.boot_summary.bootMed","hieuau.boot_summary.bootSkew","hieuau.boot_summary.bootKurtosis","hieuau.boot_summary.logmed","hieuau.boot.p","hi.boot_summary.R","hi.boot_summary.original","hi.boot_summary.bootBias","hi.boot_summary.bootSE","hi.boot_summary.bootMed","hi.boot_summary.bootSkew","hi.boot_summary.bootKurtosis","hi.boot_summary.logmed","hi.boot.p","eu.boot_summary.R","eu.boot_summary.original","eu.boot_summary.bootBias","eu.boot_summary.bootSE","eu.boot_summary.bootMed","eu.boot_summary.bootSkew","eu.boot_summary.bootKurtosis","eu.boot_summary.logmed","eu.boot.p","au.boot_summary.R","au.boot_summary.original","au.boot_summary.bootBias","au.boot_summary.bootSE","au.boot_summary.bootMed","au.boot_summary.bootSkew","au.boot_summary.bootKurtosis","au.boot_summary.logmed","au.boot.p"
"Intercept",1000,0.910064374811416,-0.0347788315988325,0.177880166919837,0.885697676422712,-0.148153636382248,-0.271554483897945,2.42467544040197,0,1000,0.216658809914171,-0.00332450900076436,0.300150434951945,0.227333097372661,-0.220370706638111,0.128029285461794,1.25524791809427,0.237,1000,1.17386231902844,-0.0561394882431301,0.215286355251016,1.1218333707503,-0.232659098304251,0.113237094592466,3.07047837136053,0,1000,0.376497188398933,-0.199674600031097,0.458363924104608,0.237132851209206,-1.17710945816989,2.92769373222459,1.26760951004569,0.293,1000,1.56344814158033,-0.149735409302664,0.676725840042115,1.47459089499126,-16.8293956063283,423.90133309579,4.36924792603515,0.007,1000,1.06729567001732,-0.298523367875718,1.46864066634947,0.944474646000343,-21.0342913723035,561.103301970211,2.57146209577151,0.074
"Climate",1000,-0.355274696872439,0.0155290950353171,0.120681063172122,-0.344344411657491,0.170108088613081,0.0541469274467645,0.70868480670389,0.007,1000,-0.201124164874854,-0.0179017395331954,0.110240402952208,-0.214851194309742,-0.501337871897273,1.92501621442311,0.806661467063174,0.017,1000,-0.189409950148828,0.00417482817974976,0.205598394934021,-0.173072237806755,-0.0930380260506096,0.0225656085690202,0.84107685510275,0.18,1000,-0.459311854003014,-0.0160852184484129,0.303497240032941,-0.42771742381187,-2.06304129558133,12.0983631403944,0.6519956272095,0.013,1000,-0.714944800360746,-0.0141068778799214,0.586995263536787,-0.695111217191271,-12.3581057893707,274.217173382533,0.499018945413273,0.023,1000,0.385776177785009,-0.0752204820469605,0.264659994413247,0.281980633200952,2.37111606020291,19.9319156250471,1.32575304414537,0.073
"Trade",1000,0.724173068628443,0.00501809064208136,0.111229162310829,0.729337112622759,0.053223212880964,0.0243556136370588,2.07370551874744,0,1000,1.24122886760931,-0.0374993534663346,0.168678115851063,1.20487474624608,-0.0746247128662614,0.756221179443026,3.33634116264024,0,1000,0.668772370167329,-0.014645724846222,0.152669419789341,0.655154653031438,0.291618147778086,1.57527494715652,1.92544026952617,0,1000,0.184895996430638,-0.0263434176168466,0.209787824317557,0.166899538244814,-0.711066711814472,2.54543549951953,1.18163555016394,0.165,1000,0.382073221381306,-0.0521585003526596,0.536735164880684,0.342477738477782,-14.8666880819088,347.060783224175,1.40843299945072,0.102,1000,0.844455121162856,0.298991957595217,1.44932470595005,0.910175514670276,16.3735612061219,385.706325434907,2.48475860670264,0.003
"NMDS.Dist",1000,-0.140341919429329,0.00585852727337574,0.0819134819019195,-0.138530308989735,0.320172965085422,0.326322875372866,0.870636862745478,0.059,1000,-0.220387224633502,0.0116787910984234,0.0706080823982948,-0.211600846220851,0.345773718625422,0.748092138125636,0.809287663334947,0.007,1000,0.0162891528703012,-0.00492722468484958,0.107626902082212,0.0123879268886448,-0.259983360731307,1.5585032214578,1.01246497508203,0.445,1000,-0.00966530286797816,-0.0136984353515265,0.207642642292464,-0.0145603081878731,-0.0567759685819638,0.435319466819915,0.985545180496191,0.469,1000,-0.010702307786778,-0.0411591591353566,0.239777201367199,-0.0168636226005063,-5.5303159553277,73.0653055003506,0.983277772357008,0.442,1000,-0.0315125388914306,-0.076836345152521,0.229594458781741,-0.0567513416411594,-2.86826998872434,14.9523614082137,0.944828979782591,0.322
"Non-native trees",1000,0.326762205100831,0.0210521609622796,0.12444238697253,0.334902130211516,0.912414108463116,1.76470384924274,1.39780357578752,0,1000,0.30492825203243,-0.0427282196106543,0.143401552642953,0.264632329666878,-0.155472013493069,1.05155394010966,1.30295183096637,0.032,1000,0.0939131604534292,0.00752033339637649,0.172830120148153,0.0931955640539262,0.342864699154726,0.483653684914627,1.0976763803218,0.286,1000,-0.0879914147738056,0.0101477296823818,0.255490191700379,-0.0716479162913528,-0.528205144655453,4.3085449100118,0.930858578262455,0.361,1000,-0.12166111426402,0.0684246856529201,0.532306644780723,-0.0842224106508739,18.8127629217127,497.172475859348,0.919226787529859,0.326,1000,0.264274986338027,-0.0864289140663664,0.254413224255925,0.175609069564335,0.176407924027782,1.34397933060959,1.19197198942716,0.232
"Interaction",1000,0.13566516245401,0.0169353538013101,0.0946942213159271,0.137626304765084,0.972350594807663,1.63216782032369,1.14754663742758,0.019,1000,0.0480630334580764,0.0216196033155187,0.115278425850946,0.0563214995112182,0.635070013165677,0.743946035330032,1.05793775553853,0.289,1000,0.0970313644274554,0.0178481072532055,0.127042854109702,0.10236663168968,0.940156339187822,2.27713947439318,1.10778954803697,0.151,1000,-0.0127881496905509,0.0109272313017422,0.225004485390384,-0.0165466295658423,0.260927811866293,0.94227380321631,0.983589513969335,0.479,1000,0.15489694358164,0.0428789053801822,0.343384527108535,0.166727051057322,20.0849620287841,539.153158904275,1.18143175074815,0.083,1000,-0.0377503675609551,-0.0347203528248716,0.281769772155159,-0.0248064558306006,-3.08726673996109,17.3934254416326,0.975498695843577,0.431
