"parameter","ancova.pF","ancova.SS","ancova.r2part"
"Full Interaction",NA,NA,NA
"Phylogeo*Exotics",0.167946808339245,0.641219855890259,0.0074064640000987
"Phylogeography",2.49354542244688e-05,6.64379894490346,0.076739759783332
"Exotic Trees",1.56123358088192e-05,7.01846289767736,0.0810673473539038
"Trade",3.5100673226582e-17,38.4668214108302,0.444314263447106
"Climate",0.0294760072522778,1.62788666463254,0.0188030421501874
"Continent",0.0009107228230318,6.01983060611866,0.0695325608858575
"Total",NA,86.5757068260527,1
"Fixed",NA,60.4180203800525,0.697863437620485
