"","t1","t2","total.r2.t1","total.r2.t2","axis.total.t1","axis.total.t2","rel.r2.t1","rel.r2.t2","total"
"full.int",0.366223836470959,0.132382056850488,0.641102328944583,0.227267273314885,0.5819,0.0573,0.213105650442451,0.00758549185753298,0.220691142299984
"int",-7.579481443587e-07,0.0404489830786678,0.641102328944583,0.227267273314885,0.5819,0.0573,-4.41050025202327e-07,0.00231772673040767,0.00231728568038247
"nmds",0.0438263977635378,0.0141564492135277,0.641102328944583,0.227267273314885,0.5819,0.0573,0.0255025808586026,0.000811164539935135,0.0263137453985378
"trees",0.303582674180814,0.0751349005309436,0.641102328944583,0.227267273314885,0.5819,0.0573,0.176654758105816,0.00430522980042307,0.180959987906239
"trade",0.206655683702638,0.0927966974602701,0.641102328944583,0.227267273314885,0.5819,0.0573,0.120252942346565,0.00531725076447348,0.125570193111038
"clim",0.0405649325061253,0.00162278965907214,0.641102328944583,0.227267273314885,0.5819,0.0573,0.0236047342253143,9.29858474648339e-05,0.0236977200727791
"continent",NA,NA,NA,NA,NA,NA,NA,NA,NA
"total",NA,NA,NA,NA,NA,NA,0.5819,0.0573,0.6392
"fixed",0.641102328944583,0.227267273314885,0.641102328944583,0.227267273314885,0.5819,0.0573,0.373057445212853,0.0130224147609429,0.386079859973796
