"Invaded.Range.Cluster","Geographic.Origin.Cluster","Number.of.pests","NMDS.Distance","Climate.Distance","Cumulative.Import.Value.T","NorthAm","number_of_exotic_trees"
"Hawaii","SE.Asia",2,0.412985250341233,0.341845107576624,0.00881921501764274,FALSE,65
"N.North.America","SE.Asia",5,0.653667405650919,0.40505988979522,15.0845681116302,TRUE,15
"NE.North.America","SE.Asia",9,0.392599513063832,0.46702304208743,15.0845681116302,TRUE,34
"SE.North.America","SE.Asia",8,0.385707552259639,0.42465830714277,15.0845681116302,TRUE,38
"W.North.America","SE.Asia",9,0.550388887928101,0.262618905961245,15.0845681116302,TRUE,22
"Australia","SE.North.America",1.16666666666667,0.488030613362939,0.572092959419411,0.957907113701793,FALSE,65
"Eurasian.Palearctic","SE.North.America",2.58333333333333,0.32365027009031,0.47854180809827,13.4142694955554,FALSE,141
"Hawaii","SE.North.America",1.33333333333333,0.730214462215839,0.327826335502566,0.00346991663103827,FALSE,13
"Australia","Subsaharan.Africa",4,0.336364432665186,0.284194281937648,0.0676722480729951,FALSE,45
"Eurasian.Palearctic","Subsaharan.Africa",6,0.260762934190038,0.521524846137341,2.79151502442417,FALSE,8
"Hawaii","Subsaharan.Africa",1,0.545280004209336,0.452107201936929,0.00297133696015598,FALSE,30
"N.North.America","Subsaharan.Africa",0,0.902783256064416,0.536736515794655,1.50294449026601,TRUE,0
"NE.North.America","Subsaharan.Africa",1,0.557273256595482,0.584809008258011,1.50294449026601,TRUE,0
"SE.North.America","Subsaharan.Africa",1,0.554483346679267,0.560880926643212,1.50294449026601,TRUE,2
"W.North.America","Subsaharan.Africa",3,0.305332343889974,0.391224498306442,1.50294449026601,TRUE,0
"Australia","W.North.America",3,0.268149075112741,0.365538232619702,0.957907113701793,FALSE,32
"Eurasian.Palearctic","W.North.America",10.25,0.163478929202424,0.294317636814823,13.4142694955554,FALSE,77
"Hawaii","W.North.America",1.33333333333333,0.652438469037188,0.337549782079039,0.00346991663103827,FALSE,10
"Australia","Arabia.Sahara",0,0.388016538677411,0.238906816290233,0.0378247976279727,FALSE,31
"Eurasian.Palearctic","Arabia.Sahara",0,0.790320758494759,0.686684052120713,2.26911838237301,FALSE,19
"Hawaii","Arabia.Sahara",0,0.674212803105592,0.668369235500044,0.0102761697924954,FALSE,10
"N.North.America","Arabia.Sahara",0,1,0.68783750176728,1.26956759835833,TRUE,1
"NE.North.America","Arabia.Sahara",0,0.804777842725947,0.735292909253989,1.26956759835833,TRUE,1
"SE.North.America","Arabia.Sahara",0,0.791441345456573,0.724408154010668,1.26956759835833,TRUE,3
"W.North.America","Arabia.Sahara",0,0.947567765498562,0.545927313102891,1.26956759835833,TRUE,1
