region_id,code,name,island,OBJIDsic,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_ISO,country
655,RUS.TL,Tula,0,1189,RUC-OO,Central European Russia,RUC,14,1,Europe,RUS,Russian Federation (the)
656,RUS.TV,Tver,0,1190,RUC-OO,Central European Russia,RUC,14,1,Europe,RUS,Russian Federation (the)
657,RUS.VR,Voronezh,0,1191,RUC-OO,Central European Russia,RUC,14,1,Europe,RUS,Russian Federation (the)
658,RWA,Rwanda,0,1192,RWA-OO,Rwanda,RWA,23,2,Africa,RWA,Rwanda
659,SAU,Saudi Arabia,0,1193,SAU-OO,Saudi Arabia,SAU,35,3,Asia-Temperate,SAU,Saudi Arabia
660,SDN,Sudan (incl. South Sudan),0,1194,SUD-OO,Sudan,SUD,24,2,Africa,SDN,Sudan (the)
661,SEN,Senegal,0,1195,SEN-OO,Senegal,SEN,22,2,Africa,SEN,Senegal
662,SGP,Singapore,1,1196,MLY-SI,Singapore,MLY,42,4,Asia-Tropical,SGP,Singapore
663,SGS.SGI,South Georgia Island,1,1197,SGE-OO,South Georgia,SGE,90,9,Antarctic,SGS,South Georgia and the South Sandwich Islands
664,SHN.AC,Ascension Island,1,32,ASC-OO,Ascension,ASC,28,2,Africa,SHN,"Saint Helena, Ascension and Tristan da Cunha"
665,SHN.GI,Gough Island,1,1198,TDC-OO,Tristan da Cunha,TDC,90,9,Antarctic,SHN,"Saint Helena, Ascension and Tristan da Cunha"
666,SHN.II,Inaccessible Island,1,1199,TDC-OO,Tristan da Cunha,TDC,90,9,Antarctic,SHN,"Saint Helena, Ascension and Tristan da Cunha"
667,SHN.NI,Nightingale,1,1200,TDC-OO,Tristan da Cunha,TDC,90,9,Antarctic,SHN,"Saint Helena, Ascension and Tristan da Cunha"
668,SHN.SH,St Helena,1,432,STH-OO,St.Helena,STH,28,2,Africa,SHN,"Saint Helena, Ascension and Tristan da Cunha"
669,SHN.TC,Tristan da Cunha,1,1201,TDC-OO,Tristan da Cunha,TDC,90,9,Antarctic,SHN,"Saint Helena, Ascension and Tristan da Cunha"
670,SLE,Sierra Leone,0,1202,SIE-OO,Sierra Leone,SIE,22,2,Africa,SLE,Sierra Leone
671,SOM,Somalia,0,1203,SOM-OO,Somalia,SOM,24,2,Africa,SOM,Somalia
672,SPM,Saint Pierre and Miquelon,1,1204,NFL-SP,St.Pierre-Miquelon,NFL,72,7,Northern America,SPM,Saint Pierre and Miquelon
