Family,Status,species,Authorityu,Reference,Year
Lamiaceae,!,Gmelina arborea,Roxb. ex Sm.,Cycl. 16: Gmelina 4,1810
Asteraceae,!,Gnaphalium involucratum,G. Forst.,"Fl. Ins. Austr. 55, 291",1786
Gnetaceae,,Gnetum gnemon,L.,Syst. Nat. (ed. 12) 2: 637,1767
Bignoniaceae,!,Godmania aesculifolia,(Kunth) Standl.,Lista Pl. Salvador 200,1925
Proteaceae,,Grevillea robusta,A. Cunn. ex R. Br.,Suppl. Prodr. Fl. Nov. Holl. 24,1830
Malvaceae,,Grewia forbesii,Harv. ex Mast.,Fl. Trop. Afr. 1: 250,1868
Sapindaceae,,Harpullia arborea,(Blanco) Radlk.,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 16(3): 404,1886
Cactaceae,,Harrisia bonplandii,(Parm. ex Pfeiff.) Britton & Rose,"Cact. 2: 157–158, f. 227, t. 24, f. 2",1920
Cactaceae,,Harrisia eriophora,(hort. ex Pfeiff.) Britton,Bull. Torrey Bot. Club 35(12): 562,1908
Cactaceae,,Harrisia martinii,(Labour.) Britton,"Cact. 2: 155, t. 19, f. 3",1920
Zingiberaceae,*,Hedychium flavescens,Carey ex Roscoe,"Monandr. Pl. Scitam. , t. 50",1824
Rubiaceae,,Hedyotis terminalis,W.L. Wagner & Herbst,,
Heliconiaceae,,Heliconia wagneriana,Petersen,Fl. Bras. 3(3): 13–14,1890
Malvaceae,,Heliocarpus popayanensis,Kunth,Nov. Gen. Sp. (quarto ed.) 5: 341,1821 [1823]
Costaceae,**,Hellenia speciosa,(J. Koenig ex Retz.) Govaerts,Phytotaxa 151(1): 64,2013
Araliaceae,,Heptapleurum actinophyllum,(Endl.) Lowry & G.M. Plunkett,Novon 28: 146,2020
Malvaceae,,Heritiera longipetiolata,Kaneh.,Bot. Mag. (Tokyo) 46,1932
Hernandiaceae,,Hernandia moerenhoutiana,Guillem.,"Ann. Sci. Nat., Bot., sér. 2, 7: 189",1837
Melastomataceae,,Heterocentron subtriplinervium,(Link & Otto) A. Braun & C.D. Bouché,Index Seminum (Berlin) 1851: 14,1851
Poaceae,!,Heteropogon contortus,(L.) P. Beauv. ex Roem. & Schult.,Syst. Veg. (ed. 15 bis) 2: 836,1817
Malvaceae,,Hibiscadelphus distans,L.E. Bishop & D.R. Herbst,Brittonia 25(3): 290,1973
Malvaceae,,Hibiscus clayi,O. Deg. & I. Deg.,,
Malvaceae,,Hibiscus makinoi,Jotani & Ohba,,
Malvaceae,,Hibiscus pacificus,Nakai ex Y. Jotani & H. Ohba,J. Jap. Bot. 61(4): 99,1986
Malvaceae,,Hibiscus scotti,Balf. f.,,
Malvaceae,!,Hibiscus tiliaceus,L.,Sp. Pl. 2: 694,1753
Malvaceae,,Hibiscus tilliaceus,L.,Sp. Pl. 2: 694,1753
Begoniaceae,,Hillebrandia sandwicensis,Oliv.,"Trans. Linn. Soc. London 25: 361, t. 46",1866
Campanulaceae,!,Hippobroma longiflora,(L.) G. Don,Gen. Hist. 3: 717,1834
Malpighiaceae,,Hiptage benghalensis,(L.) Kurz,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 43: 136",1874
Poaceae,,Holcus lanatus,L.,Sp. Pl. 2: 1048,1753
Araceae,,Homalomena rubescens,(Roxb.) Kunth,Enum. Pl. 3: 57,1841
Dipterocarpaceae,,Hopea plagata,Vidal,,
Achariaceae,,Hydnocarpus kurzii,(King) Warb.,Nat. Pflanzenfam. 3(6a): 21,1893
Araliaceae,!,Hydrocotyle verticillata,Thunb.,"Hydrocotyle 2, 5–6, pl. s.n.[2]",1798
Hypericaceae,,Hypericum gramineum,G. Forst.,Fl. Ins. Austr. 53,1786
Hypericaceae,,Hypericum mutilum,L.,Sp. Pl. 2: 787,1753
Hypericaceae,,Hypericum parvulum,Greene,Pittonia 1(9): 154,1888
Asteraceae,!,Hypochaeris glabra,L.,Sp. Pl. 2: 811,1753
Aquifoliaceae,,Ilex anomala,Hook. & Arn.,Bot. Beechey Voy. 3: 111,1832
Balsaminaceae,!,Impatiens walleriana,Hook. f.,Fl. Trop. Afr. 1: 302,1868
Fabaceae,!,Indigofera zollingeriana,Miq.,Fl. Ned. Ind. 1(1): 310,1855
Fabaceae,,Intsia bijuga,(Colebr.) Kuntze,Revis. Gen. Pl. 1: 192,1891
Convolvulaceae,!,Ipomoea alba,L.,Sp. Pl. 1: 161,1753
Convolvulaceae,!,Ipomoea littoralis,Blume,Bijdr. Fl. Ned. Ind. (13): 713,1825 [1826]
Convolvulaceae,!,Ipomoea pes-caprae,(L.) R. Br.,Observ. Congo 58,1818
Convolvulaceae,,Ipomoea tuboides,O. Deg. & Ooststr.,Fl. Hawaiiensis 307,1940
Poaceae,!,Isachne distichophylla,Munro ex Hillebr.,Fl. Hawaiian Isl. 504,1888
Poaceae,,Isachne pallens,Hillebr.,Fl. Hawaiian Isl. 504,1888
Poaceae,,Ischaemum byrone,(Trin.) Hitchc.,"Mem. Bernice Pauahi Bishop Mus. 8(3): 213, f. 109",1922
Violaceae,,Isodendrion pyrifolium,A. Gray,Proc. Amer. Acad. Arts 2: 324,1852
Rubiaceae,,Ixora angustilimba,Merr.,,
Rubiaceae,,Ixora casei,Hance,Ann. Bot. Syst. 2: 754,1852
Joinvilleaceae,,Joinvillea ascendens,Gaudich. ex Brongn. & Gris,Bull. Soc. Bot. France 8: 269,1861
Joinvilleaceae,,Joinvillea gaudichaudiana,Brongn. & Gris,Bull. Soc. Bot. France 8: 269,1861
Juncaceae,,Juncus ensifolius,Wikstr.,Kongl. Vetensk. Acad. Handl. 2: 274,1823
Cupressaceae,,Juniperus bermudiana,L.,Sp. Pl. 2: 1039,1753
Acanthaceae,,Justicia betonica,L.,Sp. Pl. 1: 15,1753
Rubiaceae,,Kadua cordata,Cham. & Schltdl.,Linnaea 4: 160,1829
Crassulaceae,!,Kalanchoe pinnata,(Lam.) Pers.,Syn. Pl. 1: 446,1805
Fabaceae,,Kanaloa kahoolawensis,Lorence & K. R. Wood,"Novon 4(2): 137–145, f. 1–3",1994
Asteraceae,,Keysseria maviensis,(H. Mann) Cabrera,Blumea 14: 307,1967
Bignoniaceae,,Kigelia africana,(Lam.) Benth.,Niger Fl. 463,1849
Malvaceae,,Kleinhovia hospita,L.,Sp. Pl. (ed. 2) 2: 1365–1366,1763
Malvaceae,,Kokia cookei,O. Deg.,,
Malvaceae,,Kokia drynarioides,Lewton,,
Malvaceae,,Kokia kauaiensis,(Rock) O. Deg. & Duvel,"Fl. Hawaiiensis Fam. 221: , un–numbered figure",1934
Santalaceae,,Korthalsella complanata,(Tiegh.) Engl.,Nat. Pflanzenfam. Nachtr. 3. 138,1897
Santalaceae,,Korthalsella cylindrica,,,
Santalaceae,,Korthalsella platycaula,(Tiegh.) Engl.,Nat. Pflanzenfam. Nachtr. 3. 138,1897
Cyperaceae,!,Kyllinga nemoralis,(J.R. Forst. & G. Forst.) Dandy ex Hutch. & Dalziel,Fl. W. Trop. Afr. 2: 487,1936
Loganiaceae,,Labordia grayana,Hillebr.,Fl. Hawaiian Isl. 291,1888
Loganiaceae,,Labordia lorenceana,"K.R. Wood, W.L. Wagner & T.J. Motley","Syst. Bot. 32(1): 195, figs. 1-2",2007
Poaceae,,Lachnagrostis filiformis,(G. Forst.) Trin.,"Fund. Agrost. 128, pl. 10",1820
Lythraceae,,Lagerstroemia duperreana,Pierre,"Fultado, Montien, Gardens, Bull 24: 285",1969
Asteraceae,,Lapsana communis,L.,Sp. Pl. 2: 811,1753
Vitaceae,,Leea guineensis,G. Don,Gen. Hist. 1: 712,1831
Araceae,,Lemna obscura,(Austin) Daubs,Illinois Biol. Monogr. 34: 20,1965
Brassicaceae,,Lepidium arbuscula,Hillebr.,,
Brassicaceae,,Lepidium serra,H. Mann,,
Myrtaceae,,Leptospermum scoparium,J.R. Forst. & G. Forst.,Char. Gen. Pl. 36,1775
Fabaceae,!,Leucaena leucocephala,(Lam.) de Wit,Taxon 10(2): 54,1961
Arecaceae,!,Licuala grandis,H. Wendl. ex Linden,"Ill. Hort. 28: 23, t. 412",1881
Asteraceae,,Lipochaeta integrifolia,(Nutt.) A. Gray,Proc. Amer. Acad. Arts 5: 130–1861,
Asteraceae,,Lipochaeta lavarum,(Gaudich.) DC.,Prodr. 5: 611,1836
Asteraceae,,Lipochaeta rockii,Sherff,,
Asteraceae,,Lipochaeta succulenta,(Hook. & Arn.) DC.,Prodr. 5: 611,1836
Arecaceae,!,Livistona chinensis,(Jacq.) R. Br. ex Mart.,Hist. Nat. Palm. 3: 240,1838
Fabaceae,,Lonchocarpus domingensis,(Turpin ex Pers.) DC.,Prodr. 2: 259,1825
Fabaceae,,Lonchocarpus trinitensis,M. Sousa,Brittonia 62(4): 334–336,2010
Onagraceae,!,Ludwigia palustris,(L.) Elliott,Sketch Bot. S. Carolina 1(3): 211,1817
Fabaceae,!,Lysiloma sabicu,Benth.,Hooker's J. Bot. Kew Gard. Misc. 6: 236–237,1854
Primulaceae,,Lysimachia glutinosa,Rock,,
Primulaceae,,Lysimachia kalalauensis,Skottsb.,,
Lythraceae,,Lythrum maritimum,Kunth,Nov. Gen. Sp. (quarto ed.) 6: 194,1823 [1824]
Euphorbiaceae,,Macaranga mappa,(L.) Müll. Arg.,Prodr. 15(2): 1000,1866
Euphorbiaceae,,Macaranga tanarius,(L.) Müll. Arg.,Prodr. 15(2): 997,1866
Bignoniaceae,!,Macfadyena unguis-cati,(L.) A.H. Gentry,Brittonia 25(3): 236–237,1973
Cyperaceae,,Machaerina angustifolia,(Gaudich.) T. Koyama,Bot. Mag. (Tokyo) 69: 62,1956
Fabaceae,!,Macroptilium lathyroides,(L.) Urb.,Symb. Antill. 9(4): 457,1928
Anacardiaceae,,Mangifera indica,L.,Sp. Pl. 1: 200,1753
Euphorbiaceae,!,Manihot esculenta,Crantz,Inst. Rei Herb. 1: 167,1766
Bignoniaceae,,Markhamia zanzibarica,(Bojer ex DC.) K. Schum.,Abh. Königl. Akad. Wiss. Berlin 1894: 16,1894
Melastomataceae,,Medinilla magnifica,Lindl.,Paxt. Fl. Gard. i: 55 t. 12.,1850
Melastomataceae,,Medinilla speciosa,Blume,Flora 14(2(30)): 515,1831
Poaceae,,Megathyrsus maximus,(Jacq.) B.K. Simon & S.W.L. Jacobs,Austrobaileya 6(3): 572,2003
Melastomataceae,,Melastoma candidum,D. Don,Mem. Wern. Nat. Hist. Soc. 4: 288,1823
Sapindaceae,,Melicoccus bijugatus,Jacq.,Enum. Syst. Pl. 19,1760
Rutaceae,,Melicope anisata,(H. Mann) T.G. Hartley & B.C. Stone,Taxon 1: 122,1989
Rutaceae,,Melicope barbigera,A. Gray,"U.S. Expl. Exped., Phan. 1: 351, t. 39",1854
Rutaceae,,Melicope clusiifolia,(A. Gray) T.G. Hartley & B.C. Stone,Taxon 38(1): 122,1989
Rutaceae,,Melicope hawaiensis,(Wawra) T.G. Hartley & B.C. Stone,Taxon 38(1): 121,1989
Rutaceae,,Melicope peduncularis,(H. Lév.) T.G. Hartley & B.C. Stone,Taxon 38(1): 122,1989
Rutaceae,,Melicope radiata,(H. St. John) T.G. Hartley & B.C. Stone,Taxon 38(1): 121,1989
Rutaceae,,Melicope stonei,"K.R. Wood, Appelhans & W.L. Wagner","PhytoKeys 83: 121, figs. 1A–G, 2A–F",2017
Poaceae,!,Melinis minutiflora,P. Beauv.,"Ess. Agrostogr. 54, pl. 11, f. 4",1812
Malvaceae,,Melochia umbellata,(Houtt.) Stapf,Bull. Misc. Inform. Kew 1913: 317,1913
Convolvulaceae,,Merremia tuberosa,(L.) Rendle,Fl. Trop. Afr. 4(2): 104,1906 [1905]
Myrtaceae,,Metrosideros polymorpha,Gaudich.,,
Myrtaceae,,Metrosideros waialealae,Rock,,
Fabaceae,,Mezoneuron kauaiense,Hillebr.,Fl. Hawaiian Isl. 110,1888
Magnoliaceae,,Michelia figo,(Lour.) Spreng.,Syst. Veg. [Sprengel] 2: 643,1825
Melastomataceae,,Miconia calvescens,DC.,Prodr. 3: 185,1828
Fabaceae,!,Mimosa pudica,L.,Sp. Pl. 1: 518,1753
Sapotaceae,,Mimusops caffra,E. Mey. ex A. DC.,Prodr. 8: 203,1844
Cucurbitaceae,,Momordica charantia,L.,Sp. Pl. 2: 1009,1753
Araceae,,Monstera deliciosa,Liebm.,Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 1849: 19,1849
Araceae,,Monstera dubia,(Kunth) Engl. & K. Krause,Pflanzenr. 23B(Heft 37): 117,1908
Araceae,,Monstera epipremnoides,Engl.,Bot. Jahrb. Syst. 37: 118,1905
Araceae,,Monstera pinnatipartita,Schott,Oesterr. Bot. Wochenbl. 7(25): 197–198,1857
Araceae,,Monstera siltepecana,Matuda,"Revista Soc. Mex. Hist. Nat. 11: 97, t. 2, f. 9",1950
Araceae,,Monstera standleyana,G.S. Bunting,"Baileya 14(4): 133–141, f. 46–50",1966 [1967]
Araceae,!,Monstera subpinnata,(Schott) Engl.,Monogr. Phan. 2: 267,1879
Rubiaceae,!!,Morinda citrifolia,L.,Sp. Pl. 1: 176,1753
Rubiaceae,,Morinda latibractea,Valeton,Bot. Jahrb. Syst. 63: 321,1930
Moringaceae,,Moringa drouhardii,Jum.,"Ann. Mus. Colon. Marseille, sér. 4, 8: 15–19, f. 3–4",1930
Moringaceae,,Moringa stenopetala,(Baker f.) Cufod.,Senckenberg. Biol. 38: 407,1957
Fabaceae,!,Mucuna gigantea,(Willd.) DC.,Prodr. 2: 405,1825
Poaceae,!,Muhlenbergia microsperma,(DC.) Kunth,Révis. Gramin. 1: 64,1829
Poaceae,**,Muhlenbergia microsperma,(DC.) Trin.,Gram. Unifl. Sesquifl. 193,1824
Araliaceae,,Munroidendron racemosum,(C.N. Forbes) Sherff,Bot. Leafl. 7: 22,1952
Musaceae,,Musa ornata,Roxb.,Fl. Ind. 2: 488–489,1824
Musaceae,!!,Musa velutina,H. Wendl. & Drude,"Gartenflora 24: 65–67, t. 823",1875
Scrophulariaceae,,Myoporum sandwicense,A. Gray,,
Myricaceae,,Myrica faya,Aiton,Hort. Kew. 3: 307,1789
Haloragaceae,,Myriophyllum aquaticum,(Vell.) Verdc.,Kew Bull. 28(1): 36,1973
Myristicaceae,,Myristica fragrans,Houtt.,Nat. Hist. 2(3): 333,1774
Myristicaceae,,Myristica nivea,Merr.,,
Primulaceae,,Myrsine alyxifolia,Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 51,1940
Primulaceae,,Myrsine denticulata,(Wawra) Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 49,1940
Primulaceae,,Myrsine emarginata,(Rock) Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 64,1940
Primulaceae,,Myrsine fernseei,(Mez) Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 63,1940
Primulaceae,,Myrsine fosbergii,Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 46,1940
Primulaceae,!,Myrsine gaudichaudii,A. DC.,"Ann. Sci. Nat., Bot., sér. 2, 16: 85",1841
Primulaceae,,Myrsine helleri,(O. Deg. & I. Deg.) H. St. John,Phytologia 39(2): 107,1978
Primulaceae,,Myrsine juddii,Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 39,1940
Primulaceae,,Myrsine kauaiensis,Hillebr.,Fl. Hawaiian Isl. 280,1888
Primulaceae,,Myrsine knudsenii,(Rock) Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 66,1940
Primulaceae,,Myrsine lanaiensis,Hillebr.,Fl. Hawaiian Isl. 281,1888
Primulaceae,,Myrsine lessertiana,A. DC.,"Ann. Sci. Nat., Bot., sér. 2, 16: 85",1841
Primulaceae,,Myrsine linearifolia,Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 41,1940
Primulaceae,,Myrsine mezii,Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 34,1940
Primulaceae,,Myrsine petiolata,Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 45,1940
Primulaceae,,Myrsine pukooensis,(H. Lév.) Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 56,1940
Primulaceae,!,Myrsine punctata,(H. Lév.) Wilbur,Pacific Sci. 19: 522,1965
Primulaceae,,Myrsine sandwicensis,A. DC.,"Ann. Sci. Nat., Bot., sér. 2, 16: 85",1841
Primulaceae,,Myrsine vaccinioides,"W.L. Wagner, D.R. Herbst & Sohmer",Occas. Pap. Bernice Pauahi Bishop Mus. 29: 107,1989
Primulaceae,,Myrsine wawraea,(Mez) Hosaka,Occas. Pap. Bernice Pauahi Bishop Mus. 16: 36,1940
Namaceae,,Nama sandwicensis,A. Gray,Proc. Amer. Acad. Arts 5: 338,1861
Lecythidaceae,**,Napoleona imperialis,P. Beauv.,"Fl. Oware 2: 30, t. 78",1810
Nepenthaceae,,Nepenthes mirabilis,(Lour.) Druce,Bot. Exch. Club Brit. Isles Rep. 4: 637,1916
Cactaceae,!,Nopalea cochenillifera,(L.) Salm-Dyck,Cact. Hort. Dyck. (1849) 64,1849 [1850]
Marcgraviaceae,,Norantea guianensis,Aubl.,"Hist. Pl. Guiane 1: 554, t. 220",1775
Oleaceae,!,Noronhia emarginata,(Lam.) Thouars,Gen. Nov. Madagasc. 8,1806
Oleaceae,,Notelaea sandwicensis,(A. Gray) Hong-Wa & Besnard,Bot. J. Linn. Soc. 200: 360-377,2022
Solanaceae,,Nothocestrum breviflorum,A. Gray,Proc. Amer. Acad. Arts 6: 49,1862
Amaranthaceae,,Nototrichium divaricatum,Lorence,"Novon 6(1): 64, f. 1",1996
Apocynaceae,,Ochrosia elliptica,Labill.,"Sert. Austro-Caledon. 25–26, pl. 30",1824
Apocynaceae,,Ochrosia holei,H. St. John,Adansonia 18(2): 208,1978
Acanthaceae,,Odontonema cuspidatum,(Nees) Kuntze,Revis. Gen. Pl. 2: 494,1891
Onagraceae,,Oenothera laciniata,Hill,"Veg. Syst. 12(Appendix): 64, pl. 10",1767
Onagraceae,,Oenothera stricta,Ledeb. ex Link,Enum. Pl. Hort. Berol. Alt. 1: 377,1821
Poaceae,!,Oplismenus compositus,(L.) P. Beauv.,"Ess. Agrostogr. 54, 168–169?",1812
Poaceae,,Oplismenus hirtellus,(L.) P. Beauv.,"Ess. Agrostogr. 54, 168, 170",1812
Poaceae,,Otatea acuminata,(Munro) C.E. Calderón & Soderstr.,Smithsonian Contr. Bot. 44: 21,1980
Fabaceae,!,Pachyrhizus erosus,(L.) Urb.,Symb. Antill. 4(2): 311,1903-1911 [1905]
