host,host_name,host_genus,host_authority,AtlanticCanada,CentralCanada,Florida,InlandWestUS,MidwestUS,NorthCentralUS,NortheastUS,NorthernNorthAmerica,NorthwestUS,SoutheastUS,SouthwestUS,WesternCanada
Capparis cynophallophora L.,Capparis cynophallophora,Capparis,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Capparis flexuosa (L.) L.,Capparis flexuosa,Capparis,(L.) L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Carnegia gigantea (Engelm.) Britton & Rose, orth. var.",Carnegia gigantea,Carnegia,"(Engelm.) Britton & Rose, orth. var.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Carnegiea gigantea (Engelm.) Britton & Rose,Carnegiea gigantea,Carnegiea,(Engelm.) Britton & Rose,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Carpinus caroliniana Walter,Carpinus caroliniana,Carpinus,Walter,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"Carya alba (L.) Nutt., nom. utique rej.",Carya alba,Carya,"(L.) Nutt., nom. utique rej.",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Carya aquatica (Michx. f.) Nutt.,Carya aquatica,Carya,(Michx. f.) Nutt.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Carya cordiformis (Wangenh.) K. Koch,Carya cordiformis,Carya,(Wangenh.) K. Koch,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Carya glabra (Mill.) Sweet,Carya glabra,Carya,(Mill.) Sweet,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Carya illinoinensis (Wangenh.) K. Koch,Carya illinoinensis,Carya,(Wangenh.) K. Koch,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Carya laciniosa (Michx. f.) G. Don,Carya laciniosa,Carya,(Michx. f.) G. Don,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Carya myristiciformis (Michx. f.) Nutt.,Carya myristiciformis,Carya,(Michx. f.) Nutt.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Carya ovata (Mill.) K. Koch,Carya ovata,Carya,(Mill.) K. Koch,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Carya tomentosa (Lam.) Nutt.,Carya tomentosa,Carya,(Lam.) Nutt.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cassiope tetragona (L.) D. Don,Cassiope tetragona,Cassiope,(L.) D. Don,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Castanea dentata (Marshall) Borkh.,Castanea dentata,Castanea,(Marshall) Borkh.,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Castanea pumila (L.) Mill.,Castanea pumila,Castanea,(L.) Mill.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Catalpa bignonioides Walter,Catalpa bignonioides,Catalpa,Walter,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Catalpa speciosa (Warder) Warder ex Engelm.,Catalpa speciosa,Catalpa,(Warder) Warder ex Engelm.,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Ceanothus ×flexilis Greene ex McMinn [cuneatus × prostratus],Ceanothus ×flexilis,Ceanothus,Greene ex McMinn [cuneatus × prostratus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ceanothus americanus L.,Ceanothus americanus,Ceanothus,L.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Ceanothus cordulatus Kellogg,Ceanothus cordulatus,Ceanothus,Kellogg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Ceanothus cuneatus (Hook.) Nutt.,Ceanothus cuneatus,Ceanothus,(Hook.) Nutt.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Ceanothus fresnensis Dudley ex Abrams,Ceanothus fresnensis,Ceanothus,Dudley ex Abrams,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ceanothus greggii A. Gray,Ceanothus greggii,Ceanothus,A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ceanothus integerrimus Hook. & Arn.,Ceanothus integerrimus,Ceanothus,Hook. & Arn.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Ceanothus megacarpus Nutt.,Ceanothus megacarpus,Ceanothus,Nutt.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ceanothus papillosus Torr. & A. Gray,Ceanothus papillosus,Ceanothus,Torr. & A. Gray,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ceanothus prostratus Benth.,Ceanothus prostratus,Ceanothus,Benth.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Ceanothus sanguineus Pursh,Ceanothus sanguineus,Ceanothus,Pursh,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Ceanothus velutinus Douglas ex Hook.,Ceanothus velutinus,Ceanothus,Douglas ex Hook.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Celtis ehrenbergiana (Klotzsch) Liebm.,Celtis ehrenbergiana,Celtis,(Klotzsch) Liebm.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Celtis laevigata Willd.,Celtis laevigata,Celtis,Willd.,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,Celtis laevigata,Celtis,Willd. var. reticulata (Torr.) L.D. Benson,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Celtis occidentalis L.,Celtis occidentalis,Celtis,L.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Celtis pallida Torr.,Celtis pallida,Celtis,Torr.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Cephalanthus occidentalis L.,Cephalanthus occidentalis,Cephalanthus,L.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Cercis canadensis L.,Cercis canadensis,Cercis,L.,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Cercis canadensis L. var. texensis (S. Watson) M. Hopkins,Cercis canadensis,Cercis,L. var. texensis (S. Watson) M. Hopkins,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Cercocarpus ledifolius Nutt.,Cercocarpus ledifolius,Cercocarpus,Nutt.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Cercocarpus montanus Raf.,Cercocarpus montanus,Cercocarpus,Raf.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Chamaebatiaria millefolium (Torr.) Maxim.,Chamaebatiaria millefolium,Chamaebatiaria,(Torr.) Maxim.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Chamaecyparis lawsoniana (A. Murray bis) Parl.,Chamaecyparis lawsoniana,Chamaecyparis,(A. Murray bis) Parl.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Chamaecyparis nootkatensis (D. Don) Spach,Chamaecyparis nootkatensis,Chamaecyparis,(D. Don) Spach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb.",Chamaecyparis thyoides,Chamaecyparis,"(L.) Britton, Sterns & Poggenb.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Chamaedaphne calyculata (L.) Moench,Chamaedaphne calyculata,Chamaedaphne,(L.) Moench,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Chilopsis linearis (Cav.) Sweet,Chilopsis linearis,Chilopsis,(Cav.) Sweet,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Chionanthus virginicus L.,Chionanthus virginicus,Chionanthus,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Choisya dumosa (Torr.) A. Gray,Choisya dumosa,Choisya,(Torr.) A. Gray,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmqvist var. chrysophylla,Chrysolepis chrysophylla,Chrysolepis,(Douglas ex Hook.) Hjelmqvist var. chrysophylla,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Chrysolepis sempervirens (Kellogg) Hjelmqvist,Chrysolepis sempervirens,Chrysolepis,(Kellogg) Hjelmqvist,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Chrysothamnus viscidiflorus (Hook.) Nutt.,Chrysothamnus viscidiflorus,Chrysothamnus,(Hook.) Nutt.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Citharexylum fruticosum L.,Citharexylum fruticosum,Citharexylum,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Citharexylum spinosum L.,Citharexylum spinosum,Citharexylum,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cladrastis kentukea (Dum. Cours.) Rudd,Cladrastis kentukea,Cladrastis,(Dum. Cours.) Rudd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cleome isomeris Greene,Cleome isomeris,Cleome,Greene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Clethra alnifolia L.,Clethra alnifolia,Clethra,L.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Coccoloba diversifolia Jacq.,Coccoloba diversifolia,Coccoloba,Jacq.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Coccoloba uvifera (L.) L.,Coccoloba uvifera,Coccoloba,(L.) L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Coleogyne ramosissima Torr.,Coleogyne ramosissima,Coleogyne,Torr.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Colubrina elliptica (Sw.) Briz. & Stern,Colubrina elliptica,Colubrina,(Sw.) Briz. & Stern,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Comptonia peregrina (L.) J.M. Coult.,Comptonia peregrina,Comptonia,(L.) J.M. Coult.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cornus alternifolia L. f.,Cornus alternifolia,Cornus,L. f.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cornus amomum Mill.,Cornus amomum,Cornus,Mill.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cornus canadensis L.,Cornus canadensis,Cornus,L.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Cornus drummondii C.A. Mey.,Cornus drummondii,Cornus,C.A. Mey.,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cornus florida L.,Cornus florida,Cornus,L.,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cornus foemina Mill.,Cornus foemina,Cornus,Mill.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cornus nuttallii Audubon ex Torr. & A. Gray,Cornus nuttallii,Cornus,Audubon ex Torr. & A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Cornus racemosa Lam.,Cornus racemosa,Cornus,Lam.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cornus rugosa Lam.,Cornus rugosa,Cornus,Lam.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cornus sericea L. ssp. occidentalis (Torr. & A. Gray) Fosberg,Cornus sericea,Cornus,L. ssp. occidentalis (Torr. & A. Gray) Fosberg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Cornus sericea L. ssp. sericea,Cornus sericea,Cornus,L. ssp. sericea,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Corylus americana Walter,Corylus americana,Corylus,Walter,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Corylus cornuta Marshall,Corylus cornuta,Corylus,Marshall,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Corylus cornuta Marshall var. californica (A. DC.) Sharp,Corylus cornuta,Corylus,Marshall var. californica (A. DC.) Sharp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Crataegus ×anomala Sarg. (pro sp.) [intricata × mollis],Crataegus ×anomala,Crataegus,Sarg. (pro sp.) [intricata × mollis],FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Crataegus aestivalis (Walter) Torr. & A. Gray,Crataegus aestivalis,Crataegus,(Walter) Torr. & A. Gray,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Crataegus crus-galli L.,Crataegus crus-galli,Crataegus,L.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Crataegus douglasii Lindl.,Crataegus douglasii,Crataegus,Lindl.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Crataegus erythropoda Ashe,Crataegus erythropoda,Crataegus,Ashe,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Crataegus marshallii Eggl.,Crataegus marshallii,Crataegus,Eggl.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Crataegus phaenopyrum (L. f.) Medik.,Crataegus phaenopyrum,Crataegus,(L. f.) Medik.,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Crataegus viridis L.,Crataegus viridis,Crataegus,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Crescentia cujete L.,Crescentia cujete,Crescentia,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cupressus arizonica Greene,Cupressus arizonica,Cupressus,Greene,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Cyrilla racemiflora L.,Cyrilla racemiflora,Cyrilla,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Dalea formosa Torr.,Dalea formosa,Dalea,Torr.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Dasiphora floribunda (Pursh) Raf.,Dasiphora floribunda,Dasiphora,(Pursh) Raf.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,Dasiphora fruticosa,Dasiphora,(L.) Rydb. ssp. floribunda (Pursh) Kartesz,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dasylirion wheeleri S. Watson,Dasylirion wheeleri,Dasylirion,S. Watson,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Decodon verticillatus (L.) Elliott,Decodon verticillatus,Decodon,(L.) Elliott,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Diervilla lonicera Mill.,Diervilla lonicera,Diervilla,Mill.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Diospyros virginiana L.,Diospyros virginiana,Diospyros,L.,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Ditrysinia fruticosa (W. Bartram) Govaerts & Frodin,Ditrysinia fruticosa,Ditrysinia,(W. Bartram) Govaerts & Frodin,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dodonaea viscosa (L.) Jacq.,Dodonaea viscosa,Dodonaea,(L.) Jacq.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Dryas drummondii Richardson ex Hook.,Dryas drummondii,Dryas,Richardson ex Hook.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Dryas octopetala L.,Dryas octopetala,Dryas,L.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Elaeagnus commutata Bernh. ex Rydb.,Elaeagnus commutata,Elaeagnus,Bernh. ex Rydb.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Elliottia pyroliflora (Bong.) S.W. Brim & P.F. Stevens,Elliottia pyroliflora,Elliottia,(Bong.) S.W. Brim & P.F. Stevens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Empetrum nigrum L.,Empetrum nigrum,Empetrum,L.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Encelia farinosa A. Gray ex Torr.,Encelia farinosa,Encelia,A. Gray ex Torr.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ephedra nevadensis S. Watson,Ephedra nevadensis,Ephedra,S. Watson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Ephedra torreyana S. Watson,Ephedra torreyana,Ephedra,S. Watson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ephedra trifurca Torr. ex S. Watson,Ephedra trifurca,Ephedra,Torr. ex S. Watson,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ephedra viridis Coville,Ephedra viridis,Ephedra,Coville,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,Ericameria nauseosa,Ericameria,(Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ericameria pinifolia (A. Gray) H.M. Hall,Ericameria pinifolia,Ericameria,(A. Gray) H.M. Hall,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Eriodictyon californicum (Hook. & Arn.) Torr.,Eriodictyon californicum,Eriodictyon,(Hook. & Arn.) Torr.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Eriogonum fasciculatum Benth.,Eriogonum fasciculatum,Eriogonum,Benth.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Eriogonum microthecum Nutt.,Eriogonum microthecum,Eriogonum,Nutt.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Eriogonum sphaerocephalum Douglas ex Benth.,Eriogonum sphaerocephalum,Eriogonum,Douglas ex Benth.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Eriogonum umbellatum Torr.,Eriogonum umbellatum,Eriogonum,Torr.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Eriogonum wrightii Torr. ex Benth.,Eriogonum wrightii,Eriogonum,Torr. ex Benth.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Eubotrys racemosus (L.) Nutt.,Eubotrys racemosus,Eubotrys,(L.) Nutt.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Eugenia rhombea (Berg) Krug & Urb.,Eugenia rhombea,Eugenia,(Berg) Krug & Urb.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Euonymus atropurpurea Jacq., orth. var.",Euonymus atropurpurea,Euonymus,"Jacq., orth. var.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Euonymus atropurpureus Jacq.,Euonymus atropurpureus,Euonymus,Jacq.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fagus grandifolia Ehrh.,Fagus grandifolia,Fagus,Ehrh.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fallugia paradoxa (D. Don) Endl. ex Torr.,Fallugia paradoxa,Fallugia,(D. Don) Endl. ex Torr.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Fendlera rupicola A. Gray,Fendlera rupicola,Fendlera,A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ferocactus wislizeni (Engelm.) Britton & Rose,Ferocactus wislizeni,Ferocactus,(Engelm.) Britton & Rose,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ficus americana Aubl.,Ficus americana,Ficus,Aubl.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ficus citrifolia Mill.,Ficus citrifolia,Ficus,Mill.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ficus laevigata Vahl,Ficus laevigata,Ficus,Vahl,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ficus sintenisii Warb.,Ficus sintenisii,Ficus,Warb.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flourensia cernua DC.,Flourensia cernua,Flourensia,DC.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Forestiera acuminata (Michx.) Poir.,Forestiera acuminata,Forestiera,(Michx.) Poir.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Forestiera pubescens Nutt. var. pubescens,Forestiera pubescens,Forestiera,Nutt. var. pubescens,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Fothergilla gardenii L.,Fothergilla gardenii,Fothergilla,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fouquieria splendens Engelm.,Fouquieria splendens,Fouquieria,Engelm.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
