"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"482","Meineckia nguruensis","Meineckia nguruensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,476,1,"wfo-0000239347","urn:lsid:ipni.org:names:77089924-1","123427","Meineckia nguruensis","species","wfo-4000023534","(Radcl.-Sm.) Jean F.Brunel","Phyllanthaceae","","",NA,"Meineckia","","nguruensis","","species","Valid","Gen. Phyllanthus Afr. Intertrop. Madag. : 248 (1987)","Accepted","","wfo-0000335442",NA,"Source in seed data: wcs Update namepublishedIn from Gen. Phyllanthus Afr. Intertrop. Madag. 248 1987  to Gen. Phyllanthus Afr. Intertrop. Madag. : 248 (1987), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=h","http://www.theplantlist.org/tpl1.1/record/kew-123427","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-123427","",FALSE,"","","",""
"483","Pittosporum goetzei","Pittosporum goetzei",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,477,1,"wfo-0001094674","urn:lsid:ipni.org:names:684488-1","25100120","Pittosporum goetzei","species","wfo-4000029927","Engl.","Pittosporaceae","","",NA,"Pittosporum","","goetzei","","species","Valid","Bot. Jahrb. Syst. 28: 392 (1900)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Bot. Jahrb. Syst. 28(4): 392. 1900 [13 Jul 1900]  to Bot. Jahrb. Syst. 28: 392 (1900), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantli","http://www.theplantlist.org/tpl1.1/record/tro-25100120","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-25100120","",FALSE,"","","",""
"484","Protea rubrobracteata","Protea rubrobracteata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,478,1,"wfo-0001107105","urn:lsid:ipni.org:names:706098-1","26500935","Protea rubrobracteata","species","wfo-4000031249","Engl.","Proteaceae","","",NA,"Protea","","rubrobracteata","","species","Valid","Bot. Jahrb. Syst. 30: 299 (1901)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Bot. Jahrb. Syst. 30(3-4): 299. 1901 [19 Nov 1901]  to Bot. Jahrb. Syst. 30: 299 (1901), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplant","http://www.theplantlist.org/tpl1.1/record/tro-26500935","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-26500935","",FALSE,"","","",""
"485","Drypetes gerrardinoides","Drypetes gerrardinoides",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,479,1,"wfo-0000946483","urn:lsid:ipni.org:names:940491-1","64876","Drypetes gerrardinoides","species","wfo-4000012669","Radcl.-Sm.","Putranjivaceae","","",NA,"Drypetes","","gerrardinoides","","species","Valid","Kew Bull. 45: 671 (1990)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 45(4): 671. 1990 [9 Nov 1990]  to Kew Bull. 45: 671 (1990), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec","http://www.theplantlist.org/tpl1.1/record/kew-64876","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-64876","",FALSE,"","","",""
"486","Drypetes sclerophylla","Drypetes sclerophylla",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,480,1,"wfo-0000946654","urn:lsid:ipni.org:names:345171-1","65035","Drypetes sclerophylla","species","wfo-4000012669","Mildbr.","Putranjivaceae","","",NA,"Drypetes","","sclerophylla","","species","Valid","Notizbl. Bot. Gart. Berlin-Dahlem 12: 515 (1935)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 12: 515 1935  to Notizbl. Bot. Gart. Berlin-Dahlem 12: 515 (1935), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","http://www.theplantlist.org/tpl1.1/record/kew-65035","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-65035","",FALSE,"","","",""
"487","Sibangea pleioneura","Sibangea pleioneura",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,481,1,"wfo-0001424818","urn:lsid:ipni.org:names:77185689-1","529336-wcs","Drypetes pleioneura","species","wfo-4000012669","(Radcl.-Sm.) Christenh. & Byng","Putranjivaceae","","",NA,"Drypetes","","pleioneura","","species","Valid","Global Fl. 0.254861111. 2018","Accepted","","",NA,"Source in seed data: wcvp Updated namepublishedIn from Global Fl. 4: 127 (2018) to Global Fl. 4: 127. 2018 [9 Feb 2018] [epublished], information provided by Alan E. on email Oct. 12 2020","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77185689-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",TRUE,"Synonym","wfo-0000309774","Sibangea pleioneura",""
"488","Afrocanthium rondoense","Afrocanthium rondoense",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,482,1,"wfo-0000335952","urn:lsid:ipni.org:names:77062260-1","216327","Afrocanthium rondoense","species","wfo-4000000846","(Bridson) Lantz","Rubiaceae","","",NA,"Afrocanthium","","rondoense","","species","Valid","Bot. J. Linn. Soc. 146: 278 (2004)","Accepted","","wfo-0000799650",NA,"Source in seed data: wcs Update namepublishedIn from Bot. J. Linn. Soc. 146(3): 278. 2004 [5 Nov. 2004]  to Bot. J. Linn. Soc. 146: 278 (2004), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepla","http://www.theplantlist.org/tpl1.1/record/kew-216327","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-216327","",FALSE,"","","",""
"489","Afrocanthium shabanii","Afrocanthium shabanii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,483,1,"wfo-0000335954","urn:lsid:ipni.org:names:77062262-1","216329","Afrocanthium shabanii","species","wfo-4000000846","(Bridson) Lantz","Rubiaceae","","",NA,"Afrocanthium","","shabanii","","species","Valid","Bot. J. Linn. Soc. 146: 278 (2004)","Accepted","","wfo-0000799974",NA,"Source in seed data: wcs Update namepublishedIn from Bot. J. Linn. Soc. 146(3): 278. 2004 [5 Nov. 2004]  to Bot. J. Linn. Soc. 146: 278 (2004), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepla","http://www.theplantlist.org/tpl1.1/record/kew-216329","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-216329","",FALSE,"","","",""
"490","Afrocanthium siebenlistii","Afrocanthium siebenlistii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,484,1,"wfo-0000335956","urn:lsid:ipni.org:names:77062263-1","216330","Afrocanthium siebenlistii","species","wfo-4000000846","(K.Krause) Lantz","Rubiaceae","","",NA,"Afrocanthium","","siebenlistii","","species","Valid","Bot. J. Linn. Soc. 146: 278 (2004)","Accepted","","wfo-0000276201",NA,"Source in seed data: wcs Update namepublishedIn from Bot. J. Linn. Soc. 146(3): 278. 2004 [5 Nov. 2004]  to Bot. J. Linn. Soc. 146: 278 (2004), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepla","http://www.theplantlist.org/tpl1.1/record/kew-216330","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-216330","",FALSE,"","","",""
"491","Bertiera pauloi","Bertiera pauloi",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,485,1,"wfo-0000328300","urn:lsid:ipni.org:names:744474-1","20885","Bertiera pauloi","species","wfo-4000004513","Verdc.","Rubiaceae","","",NA,"Bertiera","","pauloi","","species","Valid","Kew Bull. 12: 352 (1957)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 12(2): 352. 1957 [6 Sep 1957]  to Kew Bull. 12: 352 (1957), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec","http://www.theplantlist.org/tpl1.1/record/kew-20885","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-20885","",FALSE,"","","",""
