"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"1","Saurauia rusbyi","Saurauia rusbyi",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,1,"wfo-0001222300","urn:lsid:ipni.org:names:228129-2","500186","Saurauia rusbyi","species","wfo-4000034168","Britton","Actinidiaceae","","",NA,"Saurauia","","rusbyi","","species","Valid","Bull. Torrey Bot. Club 16: 64 (1889)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Bull. Torrey Bot. Club 16: 64 1889  to Bull. Torrey Bot. Club 16: 64 (1889), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","http://www.theplantlist.org/tpl1.1/record/tro-500186","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-500186","",FALSE,"","","",""
"2","Annona boliviana","Annona boliviana",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,1,"wfo-0000506326","urn:lsid:ipni.org:names:77080772-1","736716","Annona boliviana","species","wfo-4000002240","(R.E.Fr.) H.Rainer","Annonaceae","","",NA,"Annona","","boliviana","","species","Valid","Ann. Naturhist. Mus. Wien, B 108: 193 (2007)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Ann. Naturhist. Mus. Wien, B 108: 193. 2007 [May 2007]  to Ann. Naturhist. Mus. Wien, B 108: 193 (2007), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=htt","http://www.theplantlist.org/tpl1.1/record/kew-2603468","The Annonaceae TEN","A","kew-2603468","",FALSE,"","","",""
"3","Guatteria oblongifolia","Guatteria oblongifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,3,1,"wfo-0000711430","urn:lsid:ipni.org:names:114325-2","961858","Guatteria oblongifolia","species","wfo-4000016312","Rusby","Annonaceae","","",NA,"Guatteria","","oblongifolia","","species","Valid","Bull. New York Bot. Gard. 4: 320 (1907)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Bull. New York Bot. Gard. 4: 320. 1907  to Bull. New York Bot. Gard. 4: 320 (1907), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.","http://www.theplantlist.org/tpl1.1/record/kew-2834502","The Annonaceae TEN","A","kew-2834502","",FALSE,"","","",""
"4","Aspidosperma resonans","Aspidosperma resonans",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4,1,"wfo-0000791486","urn:lsid:ipni.org:names:77068594-1","330061","Aspidosperma resonans","species","wfo-4000003331","H.J.Will. & Goyder","Apocynaceae","","",NA,"Aspidosperma","","resonans","","species","Valid","Kew Bull. 60: 313 (2005)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 60(2): 313 (-317; fig. 1). 2005 [10 Nov 2005]  to Kew Bull. 60: 313 (2005), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis","http://www.theplantlist.org/tpl1.1/record/kew-330061","The Apocynaceae TEN","A","kew-330061","",FALSE,"","","",""
"5","Ilex pseudoebenacea","Ilex pseudoebenacea",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,1,"wfo-0001078581","urn:lsid:ipni.org:names:83657-1","2000447","Ilex pseudoebenacea","species","wfo-4000018994","Loes.","Aquifoliaceae","","",NA,"Ilex","","pseudoebenacea","","species","Valid","Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 78: 386 (1901)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 78: 386 1901  to Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 78: 386 (1901), information provided by Alan E. on email Jun. 07 2021 More det","http://www.theplantlist.org/tpl1.1/record/tro-2000447","The Aquifoliaceae Taxonomic Expert Network","A","tro-2000447","",FALSE,"","","",""
"6","Dendropanax bolivianus","Dendropanax bolivianus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,6,1,"wfo-0000941583","urn:lsid:ipni.org:names:77628-2","60023","Dendropanax bolivianus","species","wfo-4000011096","Gand.","Araliaceae","","",NA,"Dendropanax","","bolivianus","","species","Valid","Bull. Soc. Bot. France 65: 33 (1918)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Bull. Soc. Bot. France 65: 33 1918  to Bull. Soc. Bot. France 65: 33 (1918), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","http://www.theplantlist.org/tpl1.1/record/kew-60023","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-60023","",FALSE,"","","",""
"7","Dendropanax oblongifolius","Dendropanax oblongifolius",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,7,1,"wfo-0000941660","urn:lsid:ipni.org:names:77658-2","60095","Dendropanax oblongifolius","species","wfo-4000011096","Rusby","Araliaceae","","",NA,"Dendropanax","","oblongifolius","","species","Valid","Bull. New York Bot. Gard. 4: 366 (1907)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Bull. New York Bot. Gard. 4: 366 1907  to Bull. New York Bot. Gard. 4: 366 (1907), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.o","http://www.theplantlist.org/tpl1.1/record/kew-60095","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-60095","",FALSE,"","","",""
"8","Oreopanax atopanthus","Oreopanax atopanthus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,1,"wfo-0000260256","urn:lsid:ipni.org:names:176164-2","143479","Oreopanax atopanthus","species","wfo-4000027097","Harms","Araliaceae","","",NA,"Oreopanax","","atopanthus","","species","Valid","Notizbl. Bot. Gart. Berlin-Dahlem 9: 1040 (1926)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 9: 1040 1926  to Notizbl. Bot. Gart. Berlin-Dahlem 9: 1040 (1926), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","http://www.theplantlist.org/tpl1.1/record/kew-143479","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143479","",FALSE,"","","",""
"9","Oreopanax boliviensis","Oreopanax boliviensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,9,1,"wfo-0000260260","urn:lsid:ipni.org:names:91149-1","143482","Oreopanax boliviensis","species","wfo-4000027097","Seem.","Araliaceae","","",NA,"Oreopanax","","boliviensis","","species","Valid","J. Bot. 3: 272 (1865)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from J. Bot. 3: 272. 1865  to J. Bot. 3: 272 (1865), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-143482 >The Pl","http://www.theplantlist.org/tpl1.1/record/kew-143482","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143482","",FALSE,"","","",""
"10","Oreopanax herzogii","Oreopanax herzogii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,10,1,"wfo-0000260324","urn:lsid:ipni.org:names:176189-2","143540","Oreopanax herzogii","species","wfo-4000027097","Harms","Araliaceae","","",NA,"Oreopanax","","herzogii","","species","Valid","Notizbl. Bot. Gart. Berlin-Dahlem 15: 686 (1942)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 15: 686 1942  to Notizbl. Bot. Gart. Berlin-Dahlem 15: 686 (1942), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","http://www.theplantlist.org/tpl1.1/record/kew-143540","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143540","",FALSE,"","","",""
"11","Oreopanax ilicifolius","Oreopanax ilicifolius",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,11,1,"wfo-0000260330","urn:lsid:ipni.org:names:91221-1","143546","Oreopanax ilicifolius","species","wfo-4000027097","Marchal","Araliaceae","","",NA,"Oreopanax","","ilicifolius","","species","Valid","Bull. Acad. Roy. Sci. Belgique , sér. 2, 47: 82 (1879)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Bull. Acad. Roy. Sci. Belgique Ser. II. xlvii. (1879) 82.  to Bull. Acad. Roy. Sci. Belgique , sér. 2, 47: 82 (1879), information provided by Alan E. on email Jun. 07 2021 More details could be found ","http://www.theplantlist.org/tpl1.1/record/kew-143546","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143546","",FALSE,"","","",""
"12","Oreopanax macrocephalus","Oreopanax macrocephalus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,12,1,"wfo-0000260358","urn:lsid:ipni.org:names:60468134-2","143572","Oreopanax macrocephalus","species","wfo-4000027097","Decne. & Planch. ex Wedd.","Araliaceae","","",NA,"Oreopanax","","macrocephalus","","species","Valid","Chlor. Andina 2: 207 (1861)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Chlor. Andina 2: 207 1861  to Chlor. Andina 2: 207 (1861), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-143","http://www.theplantlist.org/tpl1.1/record/kew-143572","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143572","",FALSE,"","","",""
"13","Oreopanax membranaceus","Oreopanax membranaceus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,13,1,"wfo-0000260362","urn:lsid:ipni.org:names:176208-2","143576","Oreopanax membranaceus","species","wfo-4000027097","Rusby","Araliaceae","","",NA,"Oreopanax","","membranaceus","","species","Valid","Mem. Torrey Bot. Club 3(3): 42 (1893)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Mem. Torrey Bot. Club 3(3): 42 1893  to Mem. Torrey Bot. Club 3(3): 42 (1893), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t","http://www.theplantlist.org/tpl1.1/record/kew-143576","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143576","",FALSE,"","","",""
"14","Oreopanax pentlandianus","Oreopanax pentlandianus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,14,1,"wfo-0000260393","urn:lsid:ipni.org:names:91284-1","143603","Oreopanax pentlandianus","species","wfo-4000027097","Decne. & Planch. ex Wedd.","Araliaceae","","",NA,"Oreopanax","","pentlandianus","","species","Valid","Chlor. Andina 2: 207 (1861)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Chlor. Andina 2: 207. 1861 [1857 publ. Apr  1861]  to Chlor. Andina 2: 207 (1861), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.o","http://www.theplantlist.org/tpl1.1/record/kew-143603","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143603","",FALSE,"","","",""
"15","Oreopanax steinbachianus","Oreopanax steinbachianus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,15,1,"wfo-0000260431","urn:lsid:ipni.org:names:176242-2","143638","Oreopanax steinbachianus","species","wfo-4000027097","Harms","Araliaceae","","",NA,"Oreopanax","","steinbachianus","","species","Valid","Notizbl. Bot. Gart. Berlin-Dahlem 15: 1041 (1926)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 15: 1041 1926  to Notizbl. Bot. Gart. Berlin-Dahlem 15: 1041 (1926), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:","http://www.theplantlist.org/tpl1.1/record/kew-143638","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143638","",FALSE,"","","",""
"16","Oreopanax thaumasiophyllus","Oreopanax thaumasiophyllus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,16,1,"wfo-0000260440","urn:lsid:ipni.org:names:176247-2","143646","Oreopanax thaumasiophyllus","species","wfo-4000027097","Harms","Araliaceae","","",NA,"Oreopanax","","thaumasiophyllus","","species","Valid","Notizbl. Bot. Gart. Berlin-Dahlem 11: 291 (1931)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 11: 291 1931  to Notizbl. Bot. Gart. Berlin-Dahlem 11: 291 (1931), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","http://www.theplantlist.org/tpl1.1/record/kew-143646","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143646","",FALSE,"","","",""
"17","Oreopanax trollii","Oreopanax trollii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,17,1,"wfo-0000260446","urn:lsid:ipni.org:names:176249-2","143651","Oreopanax trollii","species","wfo-4000027097","Harms","Araliaceae","","",NA,"Oreopanax","","trollii","","species","Valid","Notizbl. Bot. Gart. Berlin-Dahlem 11: 292 (1931)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 11: 292 1931  to Notizbl. Bot. Gart. Berlin-Dahlem 11: 292 (1931), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","http://www.theplantlist.org/tpl1.1/record/kew-143651","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-143651","",FALSE,"","","",""
"18","Sciodaphyllum allocotanthum","Sciodaphyllum allocotanthum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,18,1,"wfo-1000034434","urn:lsid:ipni.org:names:77210445-1","","Sciodaphyllum allocotanthum","species","wfo-4000034685","(Harms) Lowry, G.M.Plunkett & M.M.Mora","Araliaceae","","",NA,"Sciodaphyllum","","allocotanthum","","species","Valid","Brittonia 72(1): 6. 2019","Accepted","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"19","Sciodaphyllum bangii","Sciodaphyllum bangii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,19,1,"wfo-1000034442","urn:lsid:ipni.org:names:77210455-1","","Sciodaphyllum bangii","species","wfo-4000034685","(Harms) Lowry, G.M.Plunkett & M.M.Mora","Araliaceae","","",NA,"Sciodaphyllum","","bangii","","species","Valid","Brittonia 72(1): 6. 2019","Accepted","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"20","Sciodaphyllum buchtienii","Sciodaphyllum buchtienii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,20,1,"wfo-1000034450","urn:lsid:ipni.org:names:77210467-1","","Sciodaphyllum buchtienii","species","wfo-4000034685","(Harms) Lowry, G.M.Plunkett & M.M.Mora","Araliaceae","","",NA,"Sciodaphyllum","","buchtienii","","species","Valid","Brittonia 72(1): 7. 2019","Accepted","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"21","Sciodaphyllum nebularum","Sciodaphyllum nebularum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,21,1,"wfo-1000034503","urn:lsid:ipni.org:names:77210521-1","","Sciodaphyllum nebularum","species","wfo-4000034685","(Harms) Lowry, G.M.Plunkett & M.M.Mora","Araliaceae","","",NA,"Sciodaphyllum","","nebularum","","species","Valid","Brittonia 72(1): 10. 2019","Accepted","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"22","Sciodaphyllum nephelophilum","Sciodaphyllum nephelophilum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,22,1,"wfo-1000034504","urn:lsid:ipni.org:names:77210522-1","","Sciodaphyllum nephelophilum","species","wfo-4000034685","(Harms) Lowry, G.M.Plunkett & M.M.Mora","Araliaceae","","",NA,"Sciodaphyllum","","nephelophilum","","species","Valid","Brittonia 72(1): 10. 2019","Accepted","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"23","Sciodaphyllum tipuanicum","Sciodaphyllum tipuanicum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,23,1,"wfo-1000034530","urn:lsid:ipni.org:names:77210548-1","","Sciodaphyllum tipuanicum","species","wfo-4000034685","(Harms) Lowry, G.M.Plunkett & M.M.Mora","Araliaceae","","",NA,"Sciodaphyllum","","tipuanicum","","species","Valid","Brittonia 72(1): 13. 2019","Accepted","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"24","Sciodaphyllum trollii","Sciodaphyllum trollii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,24,1,"wfo-1000034532","urn:lsid:ipni.org:names:77210550-1","","Sciodaphyllum trollii","species","wfo-4000034685","(Harms) Lowry, G.M.Plunkett & M.M.Mora","Araliaceae","","",NA,"Sciodaphyllum","","trollii","","species","Valid","Brittonia 72(1): 13. 2019","Accepted","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"25","Bactris faucium","Bactris faucium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,25,1,"wfo-0000307154","urn:lsid:ipni.org:names:664594-1","18845-wcs","Bactris faucium","species","wfo-4000003857","Mart.","Arecaceae","","",NA,"Bactris","","faucium","","species","Valid","Voy. Amér. Mér. 7(3): 60 (1844)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Voy. Amér. Mér. 7(3): 60 1844  to Voy. Amér. Mér. 7(3): 60 (1844), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/kew-18845","The Arecaceae TEN","A","kew-18845","",FALSE,"","","",""
"26","Parajubaea sunkha","Parajubaea sunkha",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,26,1,"wfo-0000264401","urn:lsid:ipni.org:names:306955-2","147490-wcs","Parajubaea sunkha","species","wfo-4000028046","M.Moraes","Arecaceae","","",NA,"Parajubaea","","sunkha","","species","Valid","Novon 6: 85 (1996)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Novon 6: 85 1996  to Novon 6: 85 (1996), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-147490 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-147490","The Arecaceae TEN","A","kew-147490","",FALSE,"","","",""
"27","Syagrus cardenasii","Syagrus cardenasii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,27,1,"wfo-0000317834","urn:lsid:ipni.org:names:246919-2","198792-wcs","Syagrus cardenasii","species","wfo-4000037145","Glassman","Arecaceae","","",NA,"Syagrus","","cardenasii","","species","Valid","Fieldiana, Bot. 31: 238 (1967)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Fieldiana, Bot. 31: 238 1967  to Fieldiana, Bot. 31: 238 (1967), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/k","http://www.theplantlist.org/tpl1.1/record/kew-198792","The Arecaceae TEN","A","kew-198792","",FALSE,"","","",""
"28","Syagrus yungasensis","Syagrus yungasensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,28,1,"wfo-0000317905","urn:lsid:ipni.org:names:302951-2","198858-wcs","Syagrus yungasensis","species","wfo-4000037145","M.Moraes","Arecaceae","","",NA,"Syagrus","","yungasensis","","species","Valid","Novon 6: 89 (1996)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Novon 6: 89 1996  to Novon 6: 89 (1996), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-198858 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-198858","The Arecaceae TEN","A","kew-198858","",FALSE,"","","",""
"29","Critoniopsis choquetangensis","Critoniopsis choquetangensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,29,1,"wfo-0000066703","urn:lsid:ipni.org:names:303348-2","GCC-F0E5A374-D9F0-4C2D-B3FB-2B990700D791","Critoniopsis choquetangensis","species","wfo-4000009721","H.Rob.","Asteraceae","","",NA,"Critoniopsis","","choquetangensis","","species","Valid","Phytologia 78: 386-387 (1995)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Phytologia 78 386 1995  to Phytologia 78: 386-387 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-2357","http://www.theplantlist.org/tpl1.1/record/gcc-23578","The Asteraceaae TEN","A","gcc-23578","",FALSE,"","","",""
"30","Dendrophorbium tabacifolium","Dendrophorbium tabacifolium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,30,1,"wfo-0000083434","urn:lsid:ipni.org:names:963561-1","GCC-5AA0CFC6-AB18-4CDD-83F8-4A1663A9CAF3","Dendrophorbium tabacifolium","species","wfo-4000011101","(Rusby) C.Jeffrey","Asteraceae","","",NA,"Dendrophorbium","","tabacifolium","","species","Valid","Kew Bull. 47(1): 68 (1992)","Accepted","","wfo-0000132101",NA,"Source in seed data: gcc Update namepublishedIn from Kew Bull. 47 68 1992  to Kew Bull. 47(1): 68 (1992), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-39916 >Th","http://www.theplantlist.org/tpl1.1/record/gcc-39916","The Asteraceaae TEN","A","gcc-39916","",FALSE,"","","",""
"31","Gynoxys asterotricha","Gynoxys asterotricha",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,31,1,"wfo-0000086467","urn:lsid:ipni.org:names:211082-1","GCC-94037562-8EA3-4974-BA18-4F5D395ABD81","Gynoxys asterotricha","species","wfo-4000016595","Sch.Bip.","Asteraceae","","",NA,"Gynoxys","","asterotricha","","species","Valid","Linnaea 34: 529 (1866)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Linnaea 34(5): 529. 1866 [Feb 1866]  to Linnaea 34: 529 (1866), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gc","http://www.theplantlist.org/tpl1.1/record/gcc-42846","The Asteraceaae TEN","A","gcc-42846","",FALSE,"","","",""
"32","Gynoxys cochabambensis","Gynoxys cochabambensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,32,1,"wfo-0000038099","urn:lsid:ipni.org:names:115927-2","GCC-234D72F4-AB19-440B-9AB5-ED2457D7B001","Gynoxys cochabambensis","species","wfo-4000016595","Cabrera","Asteraceae","","",NA,"Gynoxys","","cochabambensis","","species","Valid","Notas Mus. La Plata, Bot. 14: 194, fig. 2 (1949)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Notas Mus. La Plata, Bot. 14: 194, fig. 2. 1949  to Notas Mus. La Plata, Bot. 14: 194, fig. 2 (1949), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:/","http://www.theplantlist.org/tpl1.1/record/gcc-136838","The Asteraceaae TEN","A","gcc-136838","",FALSE,"","","",""
"33","Gynoxys psilophylla","Gynoxys psilophylla",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,33,1,"wfo-0000032565","urn:lsid:ipni.org:names:115995-2","GCC-0412713D-5BB8-41D7-8279-E1040D1CCB30","Gynoxys psilophylla","species","wfo-4000016595","Klatt","Asteraceae","","",NA,"Gynoxys","","psilophylla","","species","Valid","Ann. K. K. Naturhist. Hofmus. 9: 367 (1894)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Ann. K. K. Naturhist. Hofmus. 9: 367. 1894  to Ann. K. K. Naturhist. Hofmus. 9: 367 (1894), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepl","http://www.theplantlist.org/tpl1.1/record/gcc-131491","The Asteraceaae TEN","A","gcc-131491","",FALSE,"","","",""
"34","Gynoxys sorataensis","Gynoxys sorataensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,34,1,"wfo-0000073498","urn:lsid:ipni.org:names:116009-2","GCC-7DD958B0-8F44-443E-B237-37FA63B180A5","Gynoxys sorataensis","species","wfo-4000016595","Cuatrec.","Asteraceae","","",NA,"Gynoxys","","sorataensis","","species","Valid","Fieldiana, Bot. 27, n.° 2: 12 (1951)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Fieldiana, Bot. 27, no. 2: 12. 1951  to Fieldiana, Bot. 27, n.° 2: 12 (1951), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t","http://www.theplantlist.org/tpl1.1/record/gcc-30242","The Asteraceaae TEN","A","gcc-30242","",FALSE,"","","",""
"35","Gynoxys tablaensis","Gynoxys tablaensis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,35,1,"wfo-0000012180","urn:lsid:ipni.org:names:116016-2","GCC-E4C4E726-5FF7-4AD8-AA2F-B3F37419611F","Gynoxys tablaensis","species","wfo-4000016595","Cabrera","Asteraceae","","",NA,"Gynoxys","","tablaensis","","species","Valid","Blumea 7: 197 (1952)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Blumea 7(1): 197. 1952 [1 Sep 1952]  to Blumea 7: 197 (1952), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-","http://www.theplantlist.org/tpl1.1/record/gcc-111798","The Asteraceaae TEN","A","gcc-111798","",FALSE,"","","",""
