"Invaded.Range.Cluster","Amazonia","C.America","Caribbean","Eurasian.Palearctic","Iberia.N.Africa","Middle.East","N.North.America","N.Pacific","NE.North.America","S.Cone.Pacific","SE.Asia","SE.North.America","Subsaharan.Africa","W.North.America"
"Australia",3,2,0,20,0,0,1.33333333333333,3,5.5,3,10,1.16666666666667,4,3
"Eurasian.Palearctic",3,3,0,0,0,2,2.91666666666667,12,23.25,6,13,2.58333333333333,6,10.25
"Hawaii",5,0,1,3,0,0,0,4,4.33333333333333,0,2,1.33333333333333,1,1.33333333333333
"N.North.America",1,3,0,20,0,0,0,1,0,1,5,0,0,0
"NE.North.America",1,5,0,34,0,1,0,6,0,1,9,0,1,0
"SE.North.America",2,5,0,17,0,0,0,6,0,2,8,0,1,0
"W.North.America",2,5,0,27,1,1,0,6,0,2,9,0,3,0
